LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY
72;6;9.03125;10;89.76279;97.95597;0.1465073;0;89.61629;97.95597
73;6;9.050781;10;89.86365;97.95597;0.100853;0;89.61629;97.95597
74;6;9.06543;10;89.96909;97.95597;0.1054459;0;89.61629;97.95597
75;6;9.082031;10;90.07204;97.95597;0.102951;0;89.61629;97.95597
76;6;9.100342;10;90.11102;97.95597;0.03897095;0;89.61629;97.95597
77;6;9.115479;10;90.11102;97.95597;0;0;89.61629;97.95597
78;6;9.401367;11;91.24182;56.3989;0;0;91.24182;56.3989
79;6;9.418701;11;91.24182;56.3989;0;0;91.24182;56.3989
80;6;9.436035;11;91.39545;56.3989;0.1536331;0;91.24182;56.3989
81;6;9.451904;11;91.4983;56.3989;0.1028442;0;91.24182;56.3989
82;6;9.469238;11;91.55986;56.3989;0.06156158;0;91.24182;56.3989
83;6;9.485352;11;91.55986;56.3989;0;0;91.24182;56.3989
84;6;9.502197;11;91.3819;56.47085;-0.1779633;0.07195282;91.24182;56.3989
85;6;9.518799;11;91.06844;56.57448;-0.3134613;0.1036339;91.24182;56.3989
86;6;9.870605;12;49.75542;56.61092;0;0;49.75542;56.61092
87;6;9.889893;12;49.8658;56.61092;0.1103859;0;49.75542;56.61092
88;6;9.905273;12;49.96935;56.61092;0.10355;0;49.75542;56.61092
89;6;9.921875;12;50.07246;56.61092;0.1031036;0;49.75542;56.61092
90;6;9.941162;12;50.10879;56.67803;0.03633499;0.06711197;49.75542;56.61092
91;6;11.40479;13;89.61629;96.68382;0;0;89.61629;96.68382
92;6;11.41846;13;89.61629;96.68382;0;0;89.61629;96.68382
93;6;11.43848;13;89.7528;96.68382;0.1365128;0;89.61629;96.68382
94;6;11.45215;13;89.85639;96.68382;0.1035919;0;89.61629;96.68382
95;6;11.46997;13;89.85639;96.68382;0;0;89.61629;96.68382
96;6;11.4856;13;89.82832;96.77702;-0.02807617;0.09319305;89.61629;96.68382
97;6;11.50366;13;89.82832;96.80952;0;0.03250122;89.61629;96.68382
98;6;11.52051;13;89.74062;96.82517;-0.08769226;0.01565552;89.61629;96.68382
99;6;11.83765;14;90.18169;54.70269;0;0;90.18169;54.70269
100;6;11.85864;14;90.39227;54.70269;0.2105789;0;90.18169;54.70269
101;6;11.87354;14;90.66245;54.56599;0.2701721;-0.136692;90.18169;54.70269
102;6;11.89185;14;90.87402;54.56134;0.2115707;-0.004657745;90.18169;54.70269
103;6;11.90747;14;90.94913;54.62202;0.07511139;0.0606842;90.18169;54.70269
104;6;11.92358;14;91.05292;54.72581;0.1037903;0.1037941;90.18169;54.70269
105;6;11.94067;14;91.0298;54.88446;-0.02311707;0.1586494;90.18169;54.70269
106;6;11.9563;14;91.0298;55.09039;0;0.2059212;90.18169;54.70269
107;6;12.25879;15;134.8485;57.5297;0;0;134.8485;57.5297
108;6;12.27612;15;134.9957;57.38253;0.1471558;-0.147171;134.8485;57.5297
109;6;12.29224;15;135.2019;57.17632;0.2062073;-0.2062073;134.8485;57.5297
110;6;12.31006;15;135.2019;57.1075;0;-0.06882477;134.8485;57.5297
111;6;12.32617;15;135.2019;57.10565;0;-0.001850128;134.8485;57.5297
112;6;12.34521;15;135.0689;56.97266;-0.1329803;-0.132988;134.8485;57.5297
113;6;12.35962;15;134.774;56.9643;-0.2949066;-0.008361816;134.8485;57.5297
114;6;14.0083;16;91.10047;14.70046;0;0;91.10047;14.70046
115;6;14.0271;16;91.10047;14.70046;0;0;91.10047;14.70046
116;6;14.0415;16;91.10047;14.87382;0;0.1733589;91.10047;14.70046
117;6;14.05933;16;91.03574;15.04194;-0.06473541;0.1681204;91.10047;14.70046
118;6;14.07568;16;90.93169;15.25004;-0.1040421;0.2081013;91.10047;14.70046
119;6;14.41138;17;91.52452;60.56874;0;0;91.52452;60.56874
120;6;14.42896;17;91.59801;60.56874;0.07349396;0;91.52452;60.56874
121;6;14.44531;17;91.70121;60.46273;0.1031952;-0.1060143;91.52452;60.56874
122;6;14.4624;17;91.94374;60.22019;0.2425308;-0.2425346;91.52452;60.56874
123;6;14.479;17;92.04921;60.01409;0.1054688;-0.2061043;91.52452;60.56874
124;6;14.49683;17;92.08993;59.94096;0.04071808;-0.07313156;91.52452;60.56874
125;6;14.51416;17;92.08993;59.83725;0;-0.1037102;91.52452;60.56874
126;6;14.53125;17;92.08993;59.79131;0;-0.04593658;91.52452;60.56874
127;6;14.96704;18;92.37263;16.53802;0;0;92.37263;16.53802
128;6;14.98364;18;92.45899;16.53802;0.08636475;0;92.37263;16.53802
129;6;15.00269;18;92.54932;16.53802;0.0903244;0;92.37263;16.53802
130;6;15.01709;18;92.51398;16.53802;-0.03533936;0;92.37263;16.53802
131;6;15.03491;18;92.51398;16.53802;0;0;92.37263;16.53802
132;6;15.05151;18;92.43899;16.68369;-0.07498932;0.1456642;92.37263;16.53802
133;6;15.06763;18;92.2177;17.01437;-0.221283;0.3306847;92.37263;16.53802
134;6;16.65381;19;89.26291;18.5876;0;0;89.26291;18.5876
135;6;16.66553;19;89.26291;18.5876;0;0;89.26291;18.5876
136;6;16.68335;19;89.33359;18.5876;0.07067871;0;89.26291;18.5876
137;6;16.70093;19;89.33359;18.5876;0;0;89.26291;18.5876
138;6;16.71704;19;89.33359;18.70881;0;0.1212063;89.26291;18.5876
139;6;16.7334;19;89.33359;18.81283;0;0.1040211;89.26291;18.5876
140;6;16.75098;19;89.33359;18.91588;0;0.1030445;89.26291;18.5876
141;6;16.76636;19;89.33359;19.01896;0;0.1030788;89.26291;18.5876
142;6;16.78418;19;89.43961;19.11767;0.1060181;0.09871483;89.26291;18.5876
143;6;17.12012;20;88.55616;55.90417;0;0;88.55616;55.90417
144;6;17.13672;20;88.64165;55.90417;0.08548737;0;88.55616;55.90417
145;6;17.15503;20;88.74506;55.90417;0.1034164;0;88.55616;55.90417
146;6;17.17065;20;88.84739;55.90417;0.1023254;0;88.55616;55.90417
147;6;17.19043;20;88.95186;55.90417;0.1044693;0;88.55616;55.90417
148;6;17.20361;20;89.0545;55.90417;0.1026382;0;88.55616;55.90417
149;6;17.2207;20;89.0545;55.90417;0;0;88.55616;55.90417
150;6;17.23779;20;89.0545;55.90417;0;0;88.55616;55.90417
151;6;17.25464;20;89.05089;55.90417;-0.003608704;0;88.55616;55.90417
152;6;17.27588;20;89.05089;55.83909;0;-0.06507874;88.55616;55.90417
153;6;17.53931;21;132.4455;59.86198;0;0;132.4455;59.86198
154;6;17.55713;21;132.4455;59.86198;0;0;132.4455;59.86198
155;6;17.57373;21;132.4455;58.7309;0;-1.131081;132.4455;59.86198
156;6;17.59106;21;132.4455;58.25534;0;-0.4755554;132.4455;59.86198
157;6;17.6084;21;132.4455;58.00495;0;-0.2503967;132.4455;59.86198
158;6;17.62476;21;132.4455;57.9108;0;-0.09414291;132.4455;59.86198
159;6;17.64063;21;132.4455;57.84774;0;-0.06306458;132.4455;59.86198
160;6;17.65796;21;132.4455;57.88308;0;0.03533554;132.4455;59.86198
161;6;19.24292;22;133.0109;56.6816;0;0;133.0109;56.6816
162;6;19.25537;22;133.0109;56.6816;0;0;133.0109;56.6816
163;6;19.27319;22;133.0109;56.6816;0;0;133.0109;56.6816
164;6;19.28906;22;133.0109;56.6816;0;0;133.0109;56.6816
165;6;19.30566;22;133.0109;56.6816;0;0;133.0109;56.6816
166;6;19.32422;22;133.0109;56.75227;0;0.07067108;133.0109;56.6816
167;6;19.3396;22;132.9679;56.75227;-0.0430603;0;133.0109;56.6816
168;6;19.67944;23;90.74709;59.57928;0;0;90.74709;59.57928
169;6;19.69238;23;90.74709;59.57928;0;0;90.74709;59.57928
170;6;19.71167;23;90.62596;59.13517;-0.1211319;-0.4441185;90.74709;59.57928
171;6;19.72559;23;90.5233;58.51925;-0.1026611;-0.615921;90.74709;59.57928
172;6;19.74292;23;90.305;58.10338;-0.2182999;-0.415863;90.74709;59.57928
173;6;19.75977;23;90.17537;57.87043;-0.129631;-0.2329521;90.74709;59.57928
174;6;19.77686;23;90.11102;57.8124;-0.06435394;-0.05803299;90.74709;59.57928
175;6;19.7937;23;90.11102;57.8124;0;0;90.74709;59.57928
176;6;20.04492;24;53.21851;57.8124;0;0;53.21851;57.8124
177;6;20.0625;24;53.21851;57.8124;0;0;53.21851;57.8124
178;6;20.07959;24;53.21851;57.8124;0;0;53.21851;57.8124
179;6;20.09546;24;53.21851;57.8124;0;0;53.21851;57.8124
180;6;20.11548;24;53.16255;57.86836;-0.05595779;0.05596161;53.21851;57.8124
181;6;20.12939;24;53.05925;57.97166;-0.1032982;0.103302;53.21851;57.8124
182;6;20.14722;24;52.95572;58.07518;-0.1035271;0.1035194;53.21851;57.8124
183;6;20.1626;24;52.93581;58.0951;-0.01991653;0.01992416;53.21851;57.8124
184;6;21.55835;25;90.46439;96.61314;0;0;90.46439;96.61314
185;6;21.57666;25;90.46439;96.61314;0;0;90.46439;96.61314
186;6;21.59302;25;90.46439;96.68382;0;0.07067871;90.46439;96.61314
187;6;21.6106;25;90.46439;96.81383;0;0.1300049;90.46439;96.61314
188;6;21.62646;25;90.37293;96.91663;-0.09146118;0.1028061;90.46439;96.61314
189;6;21.64697;25;90.26918;97.02039;-0.1037521;0.1037521;90.46439;96.61314
190;6;21.66016;25;90.16557;97.12399;-0.1036148;0.1036072;90.46439;96.61314
191;6;21.67773;25;90.18169;97.10787;0.01612854;-0.01612091;90.46439;96.61314
192;6;21.98145;26;90.88844;54.13728;0;0;90.88844;54.13728
193;6;22.00049;26;90.88844;54.13728;0;0;90.88844;54.13728
