UserID;Age;Gender;DominantHand;DominantEye;LongNails;TargetSize;ColliderSize;Delay;TouchID;TargetID;TargetCombination;Outset;Goal;MistakeOccured;HitType;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TargetDistance;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;CrossTargets
3;28;M;L;L;No;6;18;1;0;0;NW;N;W;No;Outset;0.836792;0.8718262;0.836792;90.46439;96.54025;-1;89.82832;94.56356;-0.5653992;-1.976685;-0.6360779;-1.976685;0.03503418;True
3;28;M;L;L;No;6;18;1;1;0;NW;N;W;No;Center;1.171631;1.225952;0.3348389;90.46439;56.54025;40;91.73655;56.54025;1.201477;-0.0706749;1.272156;0;0.05432129;True
3;28;M;L;L;No;6;18;1;2;0;NW;N;W;No;Goal;1.495117;1.560059;0.3234863;50.46439;56.54025;40;51.66365;58.02443;0.704525;2.261608;1.199257;1.48418;0.06494141;True
3;28;M;L;L;No;6;18;1;3;1;EN;E;N;No;Outset;3.141846;3.192749;1.646729;130.4644;56.54025;-1;130.3253;57.45902;2.051788;0.3533745;-0.1391296;0.9187775;0.05090332;True
3;28;M;L;L;No;6;18;1;4;1;EN;E;N;No;Center;3.409912;3.49353;0.2680664;90.46439;56.54025;40.00001;90.81777;60.21536;1.837563;3.180389;0.3533783;3.675117;0.08361816;True
3;28;M;L;L;No;6;18;1;5;1;EN;E;N;No;Goal;3.711792;3.779663;0.3018799;90.46439;96.54025;40;89.26291;98.59206;-0.8481064;2.122482;-1.201485;2.051811;0.06787109;True
3;28;M;L;L;No;6;18;1;6;2;NW;N;W;No;Outset;5.236206;5.312988;1.524414;90.46439;96.54025;-1;90.67641;93.78613;-0.7774277;-0.2804794;0.2120209;-2.754112;0.07678223;True
3;28;M;L;L;No;6;18;1;7;2;NW;N;W;No;Center;5.450317;5.529785;0.2141113;90.46439;56.54025;40;92.726;58.80185;2.402962;3.675117;2.261604;2.261608;0.07946777;True
3;28;M;L;L;No;6;18;1;8;2;NW;N;W;No;Goal;5.75061;5.848267;0.300293;50.46439;56.54025;40;48.83664;58.23645;-1.345055;1.908234;-1.627754;1.696205;0.09765625;True
3;28;M;L;L;No;6;18;1;9;3;WS;W;S;No;Outset;7.281372;7.344971;1.530762;50.46439;56.54025;-1;56.6816;56.25755;5.793152;-0.2826996;6.217205;-0.2826996;0.06359863;True
3;28;M;L;L;No;6;18;1;10;3;WS;W;S;No;Center;7.495117;7.563599;0.2137451;90.46439;56.54025;40;88.20278;55.90417;-2.402962;-0.1413498;-2.261612;-0.6360741;0.06848145;True
3;28;M;L;L;No;6;18;1;11;3;WS;W;S;No;Goal;7.730347;7.817017;0.2352295;90.46439;16.54025;39.99999;88.41481;17.1741;-1.625534;0.8458748;-2.049583;0.6338482;0.08666992;True
3;28;M;L;L;No;6;18;1;12;4;SN;S;N;No;Outset;9.381104;9.42981;1.650757;90.46439;16.54025;-1;91.96518;17.05634;2.402962;-1.415735;1.500786;0.5160942;0.04870605;True
3;28;M;L;L;No;6;18;1;13;4;SN;S;N;No;Center;9.580322;9.667847;0.1992188;90.46439;56.54025;39.99999;90.60574;57.247;0;-0.2120285;0.1413498;0.7067566;0.08752441;True
3;28;M;L;L;No;6;18;1;14;4;SN;S;N;No;Goal;9.833984;9.919922;0.2536621;90.46439;96.54025;40;86.71861;90.32304;-3.816467;-6.994629;-3.745789;-6.217201;0.0859375;True
3;28;M;L;L;No;6;18;1;15;5;WS;W;S;No;Outset;11.36377;11.41553;1.529785;50.46439;56.54025;-1;51.09825;53.64256;-0.6383018;-3.745789;0.6338539;-2.897686;0.05175781;True
