StudyID;UserID;Age;Gender;PlayingHand;TargetSize;TargetDistance;ColliderSize;HitType;TargetID;RoundID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;Repetition;Delay;TargetCombination;DominantEye;LongNails;MistakeOccured;Clockwise;DominantHand;TouchID;Outset;Goal;CrossTargets
StudyID;UserID;Age;Gender;PlayingHand;TargetSize;TargetDistance;ColliderSize;HitType;TargetID;;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;;;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;;;;Delay;TargetCombination;DominantEye;LongNails;MistakeOccured;;DominantHand;TouchID;Outset;Goal;CrossTargets
11;1;22;FALSE;R;6;40.00001;18;Center;6;;44.93726;45.00708;0.53479;98.52122;53.10909;;;99.35379;52.14697;0.5772705;-1.154545;0.8325729;-0.9621201;0.06982422;;;;1;WS;R;No;No;;R;19;W;S;True
11;1;22;FALSE;R;6;40;18;Goal;6;;45.47449;45.52264;0.5372314;98.52122;13.10909;;;99.17044;15.08106;0.3848419;1.707575;0.6492233;1.971965;0.04815674;;;;1;WS;R;No;No;;R;20;W;S;True
11;1;22;FALSE;R;6;-1;18;Outset;7;;47.46411;47.5213;1.989624;138.5212;53.10909;;;140.2279;50.60757;1.948486;-2.501514;1.706696;-2.501514;0.05718994;;;;1;ES;R;No;No;;R;21;E;S;True
11;1;22;FALSE;R;6;39.99999;18;Center;7;;48.2063;48.24384;0.7421875;98.52122;53.10909;;;97.75151;55.80303;-0.7697067;2.693943;-0.7697067;2.693943;0.03753662;;;;1;ES;R;No;No;;R;22;E;S;True
11;1;22;FALSE;R;6;40;18;Goal;7;;48.85553;48.91223;0.649231;98.52122;13.10909;;;98.35764;13.4697;-0.5772858;0.3606052;-0.1635742;0.3606052;0.05670166;;;;1;ES;R;No;No;;R;23;E;S;True
11;1;22;FALSE;R;6;-1;18;Outset;8;;50.70996;50.77551;1.854431;98.52122;13.10909;;;100.0632;13.08485;1.154541;-0.02424335;1.541977;-0.02424335;0.06555176;;;;1;SW;R;No;No;;R;24;S;W;True
11;1;22;FALSE;R;6;40;18;Center;8;;51.32147;51.37457;0.6115112;98.52122;53.10909;;;101.6989;55.75358;2.693932;2.886368;3.177689;2.644489;0.05310059;;;;1;SW;R;No;No;;R;25;S;W;True
11;1;22;FALSE;R;6;40.00001;18;Goal;8;;51.92035;51.97736;0.598877;58.52121;53.10909;;;66.00883;56.57273;6.90303;3.271214;7.487617;3.463638;0.05700684;;;;1;SW;R;No;No;;R;26;S;W;True
11;1;22;FALSE;R;6;-1;18;Outset;9;;53.79346;53.8548;1.873108;58.52121;53.10909;;;60.61155;55.22367;1.322727;1.346973;2.09034;2.114582;0.06134033;;;;1;WE;R;No;No;;R;27;W;E;True
11;1;22;FALSE;R;6;40.00001;18;Center;9;;54.41119;54.44922;0.6177368;98.52122;53.10909;;;101.2151;52.14697;2.693932;-0.9621201;2.693932;-0.9621201;0.0380249;;;;1;WE;R;No;No;;R;28;W;E;True
11;1;22;FALSE;R;6;39.99999;18;Goal;9;;55.7196;55.79242;1.308411;138.5212;53.10909;;;138.5455;50.22273;0.02424622;-2.88636;0.02424622;-2.88636;0.07281494;;;;1;WE;R;No;No;;R;29;W;E;True
11;1;22;FALSE;R;6;-1;18;Outset;10;;57.68359;57.73181;1.963989;98.52122;13.10909;;;99.86818;14.23939;1.346962;1.130303;1.346962;1.130303;0.04821777;;;;1;SW;R;No;No;;R;30;S;W;True
11;1;22;FALSE;R;6;40;18;Center;10;;58.34003;58.41864;0.6564331;98.52122;53.10909;;;100.3492;54.16742;1.539391;0.5772705;1.828018;1.058334;0.07861328;;;;1;SW;R;No;No;;R;31;S;W;True
