LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY
70;1;12.93591;17;132.5518;52.75939;-0.1057434;-0.1057396;132.6575;52.86513
71;1;12.95215;17;132.5162;52.6567;-0.03561401;-0.102684;132.6575;52.86513
72;1;12.96851;17;132.5162;52.61777;0;-0.03893661;132.6575;52.86513
73;1;14.4176;18;93.07938;98.59206;0;0;93.07938;98.59206
74;1;14.43127;18;93.07938;98.59206;0;0;93.07938;98.59206
75;1;14.44861;18;92.97337;98.48604;-0.1060104;-0.1060181;93.07938;98.59206
76;1;14.46558;18;93.00871;98.45071;0.03533936;-0.03533173;93.07938;98.59206
77;1;14.63574;19;90.88844;59.79131;0;0;90.88844;59.79131
78;1;14.65002;19;90.88844;59.79131;0;0;90.88844;59.79131
79;1;14.66711;19;90.74949;59.44509;-0.1389542;-0.3462181;90.88844;59.79131
80;1;14.68335;19;90.64623;59.13536;-0.1032562;-0.3097343;90.88844;59.79131
81;1;14.70105;19;90.67641;59.02185;0.03018188;-0.1135063;90.88844;59.79131
82;1;14.9231;20;91.17115;16.46735;0;0;91.17115;16.46735
83;1;14.93542;20;91.17115;16.46735;0;0;91.17115;16.46735
84;1;14.95251;20;91.17115;16.34026;0;-0.1270885;91.17115;16.46735
85;1;14.96875;20;91.17115;16.23745;0;-0.1028042;91.17115;16.46735
86;1;16.61646;21;87.92008;15.26587;0;0;87.92008;15.26587
87;1;16.63306;21;87.92008;15.26587;0;0;87.92008;15.26587
88;1;16.64929;21;87.92008;15.26587;0;0;87.92008;15.26587
89;1;16.83362;22;90.32304;57.45902;0;0;90.32304;57.45902
90;1;16.85193;22;90.32304;57.45902;0;0;90.32304;57.45902
91;1;16.86768;22;90.25237;57.29297;-0.07067871;-0.16605;90.32304;57.45902
92;1;16.88477;22;90.25237;57.31767;0;0.02470016;90.32304;57.45902
93;1;16.90417;22;90.25237;57.31767;0;0;90.32304;57.45902
94;1;17.07373;23;131.032;58.80185;0;0;131.032;58.80185
95;1;17.08643;23;131.032;58.80185;0;0;131.032;58.80185
96;1;17.10327;23;131.032;58.80185;0;0;131.032;58.80185
97;1;17.12073;23;131.032;58.80185;0;0;131.032;58.80185
98;1;18.63269;24;129.1945;57.17632;0;0;129.1945;57.17632
99;1;18.64941;24;129.1945;57.09853;0;-0.07779694;129.1945;57.17632
100;1;18.66699;24;129.1945;57.09853;0;0;129.1945;57.17632
101;1;18.68469;24;129.1223;57.03497;-0.07214355;-0.06355286;129.1945;57.17632
102;1;18.7002;24;129.0183;57.03497;-0.1040497;0;129.1945;57.17632
103;1;18.86914;25;87.99076;54.20796;0;0;87.99076;54.20796
104;1;18.88489;25;87.99076;54.20796;0;0;87.99076;54.20796
105;1;18.90295;25;87.84777;54.06497;-0.1429901;-0.1429901;87.99076;54.20796
106;1;18.91821;25;87.84941;53.96214;0.00164032;-0.102829;87.99076;54.20796
107;1;18.93604;25;87.84941;53.99593;0;0.03379059;87.99076;54.20796
108;1;19.10327;26;132.1628;55.55079;0;0;132.1628;55.55079
109;1;19.1217;26;132.0911;55.55079;-0.07176208;0;132.1628;55.55079
110;1;19.13672;26;131.9876;55.4462;-0.1035004;-0.1045914;132.1628;55.55079
