StudyID;UserID;Age;Gender;DominantHand;DominantEye;LongNails;TargetSize;ColliderSize;Delay;TouchID;TargetID;TargetCombination;Outset;Goal;MistakeOccured;HitType;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TargetDistance;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;CrossTargets
11;1;22;FALSE;R;R;No;6;18;1;23;7;ES;E;S;No;Goal;48.85553;48.91223;0.649231;98.52122;13.10909;40;98.35764;13.4697;-0.5772858;0.3606052;-0.1635742;0.3606052;0.05670166;True
11;1;22;FALSE;R;R;No;6;18;1;24;8;SW;S;W;No;Outset;50.70996;50.77551;1.854431;98.52122;13.10909;-1;100.0632;13.08485;1.154541;-0.02424335;1.541977;-0.02424335;0.06555176;True
11;1;22;FALSE;R;R;No;6;18;1;25;8;SW;S;W;No;Center;51.32147;51.37457;0.6115112;98.52122;53.10909;40;101.6989;55.75358;2.693932;2.886368;3.177689;2.644489;0.05310059;True
11;1;22;FALSE;R;R;No;6;18;1;26;8;SW;S;W;No;Goal;51.92035;51.97736;0.598877;58.52121;53.10909;40.00001;66.00883;56.57273;6.90303;3.271214;7.487617;3.463638;0.05700684;True
11;1;22;FALSE;R;R;No;6;18;1;27;9;WE;W;E;No;Outset;53.79346;53.8548;1.873108;58.52121;53.10909;-1;60.61155;55.22367;1.322727;1.346973;2.09034;2.114582;0.06134033;True
11;1;22;FALSE;R;R;No;6;18;1;28;9;WE;W;E;No;Center;54.41119;54.44922;0.6177368;98.52122;53.10909;40.00001;101.2151;52.14697;2.693932;-0.9621201;2.693932;-0.9621201;0.0380249;True
11;1;22;FALSE;R;R;No;6;18;1;29;9;WE;W;E;No;Goal;55.7196;55.79242;1.308411;138.5212;53.10909;39.99999;138.5455;50.22273;0.02424622;-2.88636;0.02424622;-2.88636;0.07281494;True
11;1;22;FALSE;R;R;No;6;18;1;30;10;SW;S;W;No;Outset;57.68359;57.73181;1.963989;98.52122;13.10909;-1;99.86818;14.23939;1.346962;1.130303;1.346962;1.130303;0.04821777;True
11;1;22;FALSE;R;R;No;6;18;1;31;10;SW;S;W;No;Center;58.34003;58.41864;0.6564331;98.52122;53.10909;40;100.3492;54.16742;1.539391;0.5772705;1.828018;1.058334;0.07861328;True
11;1;22;FALSE;R;R;No;6;18;1;32;10;SW;S;W;No;Goal;58.97821;59.03448;0.6381836;58.52121;53.10909;40.00001;57.23997;55.31573;-2.333332;1.346973;-1.281235;2.206642;0.05627441;True
11;1;22;FALSE;R;R;No;6;18;1;33;11;WS;W;S;No;Outset;60.82739;60.88275;1.849182;58.52121;53.10909;-1;60.03636;56.3803;1.515152;3.271214;1.515152;3.271214;0.05535889;True
11;1;22;FALSE;R;R;No;6;18;1;34;11;WS;W;S;No;Center;61.37708;61.41901;0.5496826;98.52122;53.10909;40.00001;98.5525;52.33939;-0.1924362;-0.7696991;0.03128052;-0.7696991;0.04193115;True
11;1;22;FALSE;R;R;No;6;18;1;35;11;WS;W;S;No;Goal;61.95197;62.00818;0.5748901;98.52122;13.10909;40;98.9567;12.94307;0.192421;-0.409091;0.4354858;-0.1660175;0.05621338;True
11;1;22;FALSE;R;R;No;6;18;1;36;12;NW;N;W;No;Outset;63.82526;63.87323;1.873291;98.52122;93.10909;-1;98.71364;91.97878;0.192421;-1.130302;0.192421;-1.130302;0.04797363;True
11;1;22;FALSE;R;R;No;6;18;1;37;12;NW;N;W;No;Center;64.36536;64.41833;0.5401001;98.52122;53.10909;40;99.86818;49.45303;0.7696915;-3.656059;1.346962;-3.656059;0.05297852;True
11;1;22;FALSE;R;R;No;6;18;1;38;12;NW;N;W;No;Goal;65.12415;65.16656;0.7587891;58.52121;53.10909;40.00001;58.01552;51.76186;-1.371212;-1.92424;-0.5056915;-1.347229;0.04241943;True
