UserID;Age;Gender;DominantHand;DominantEye;LongNails;TargetSize;ColliderSize;Delay;TouchID;TargetID;TargetCombination;Outset;Goal;MistakeOccured;HitType;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TargetDistance;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;CrossTargets
5;23;M;R;L;No;6;18;1;0;0;NS;N;S;No;Outset;6.647461;6.739746;6.647461;98.52122;93.10909;-1;97.17424;93.54316;-1.346977;0.2166748;-1.346977;0.4340744;0.09228516;True
5;23;M;R;L;No;6;18;1;1;0;NS;N;S;No;Center;7.280762;7.370117;0.6333008;98.52122;53.10909;40;98.12486;49.84939;-0.1924362;-3.463634;-0.3963623;-3.259701;0.08935547;True
5;23;M;R;L;No;6;18;1;2;0;NS;N;S;No;Goal;7.719727;7.802734;0.4389648;98.52122;13.10909;40;96.6883;13.50339;-1.154556;0.1681814;-1.832916;0.3943014;0.08300781;True
5;23;M;R;L;No;6;18;1;3;1;WW;W;W;No;Outset;9.526855;9.628418;1.807129;58.52121;53.10909;-1;58.68939;48.74932;-0.0242424;-4.618183;0.1681824;-4.359764;0.1015625;True
5;23;M;R;L;No;6;18;1;4;1;WW;W;W;No;Center;10.04053;10.12988;0.5136719;98.52122;53.10909;40.00001;92.95845;56.39784;-5.772728;3.078789;-5.562767;3.288754;0.08935547;True
5;23;M;R;L;No;6;18;1;5;1;WW;W;W;No;Goal;10.6333;10.73389;0.5927734;58.52121;53.10909;40.00001;57.53485;53.39773;-0.9863625;0.7696953;-0.9863625;0.2886391;0.1005859;True
5;23;M;R;L;No;6;18;1;6;2;SN;S;N;No;Outset;12.3916;12.46582;1.758301;98.52122;13.10909;-1;96.98181;13.08485;-1.539406;-0.02424335;-1.539406;-0.02424335;0.07421875;True
5;23;M;R;L;No;6;18;1;7;2;SN;S;N;No;Center;12.90381;12.97852;0.512207;98.52122;53.10909;40;101.4076;53.87878;2.88636;-1.34697;2.88636;0.7696953;0.07470703;True
5;23;M;R;L;No;6;18;1;8;2;SN;S;N;No;Goal;13.3833;13.4624;0.4794922;98.52122;93.10909;40;98.13636;93.16632;-0.3848572;-0.1681747;-0.3848572;0.05723572;0.07910156;True
5;23;M;R;L;No;6;18;1;9;3;NS;N;S;Miss;Miss;14.95313;15.04199;1.569824;98.52122;93.10909;-1;100.1556;103.5242;1.154541;10.41515;1.634392;10.41515;0.08886719;True
5;23;M;R;L;No;6;18;1;10;3;NS;N;S;Miss;Outset;15.72852;15.78369;0.7753906;98.52122;93.10909;-1;96.40454;92.39436;-2.116676;-0.9378738;-2.116676;-0.7147293;0.05517578;True
5;23;M;R;L;No;6;18;1;11;3;NS;N;S;Miss;Center;16.16504;16.26611;0.4365234;98.52122;53.10909;40;94.86515;51.18866;-3.656067;-2.116665;-3.656067;-1.920433;0.1010742;True
5;23;M;R;L;No;6;18;1;12;3;NS;N;S;Miss;Goal;16.63037;16.69482;0.465332;98.52122;13.10909;40;96.21212;13.08485;-2.309097;-0.02424335;-2.309097;-0.02424335;0.06445313;True
5;23;M;R;L;No;6;18;1;13;4;NS;N;S;No;Outset;18.20313;18.25244;1.572754;98.52122;93.10909;-1;99.67576;92.94091;1.154541;-0.1681747;1.154541;-0.1681747;0.04931641;True
5;23;M;R;L;No;6;18;1;14;4;NS;N;S;No;Center;18.60498;18.67773;0.4018555;98.52122;53.10909;40;97.36666;56.18788;-1.154556;3.078789;-1.154556;3.078789;0.07275391;True
5;23;M;R;L;No;6;18;1;15;4;NS;N;S;No;Goal;19.03711;19.09326;0.4321289;98.52122;13.10909;40;97.17424;12.89242;-1.346977;-0.2166672;-1.346977;-0.2166672;0.05615234;True
5;23;M;R;L;No;6;18;1;16;5;WN;W;N;No;Outset;20.78857;20.86816;1.751465;58.52121;53.10909;-1;58.30454;50.27338;-0.2166672;-3.078785;-0.2166672;-2.835712;0.07958984;True
5;23;M;R;L;No;6;18;1;17;5;WN;W;N;No;Center;21.26172;21.30176;0.4731445;98.52122;53.10909;40.00001;96.98181;52.12447;-1.539406;-1.539394;-1.539406;-0.984623;0.04003906;True
5;23;M;R;L;No;6;18;1;18;5;WN;W;N;No;Goal;21.72949;21.79639;0.4677734;98.52122;93.10909;40;96.75947;94.1553;-1.539406;0.6015244;-1.761749;1.046219;0.06689453;True
5;23;M;R;L;No;6;18;1;19;6;NN;N;N;No;Outset;23.41064;23.46875;1.681152;98.52122;93.10909;-1;94.6148;99.19502;-3.078796;4.834846;-3.906418;6.085938;0.05810547;True
5;23;M;R;L;No;6;18;1;20;6;NN;N;N;No;Center;23.83643;23.90771;0.4257813;98.52122;53.10909;40;95.44242;53.71959;-3.078796;0.3848457;-3.078796;0.6105042;0.07128906;True
5;23;M;R;L;No;6;18;1;21;6;NN;N;N;No;Goal;24.36865;24.42383;0.5322266;98.52122;93.10909;40;97.55524;93.42389;0;-0.1681747;-0.9659805;0.3148041;0.05517578;True
5;23;M;R;L;No;6;18;1;22;7;NN;N;N;No;Outset;26.06201;26.15381;1.693359;98.52122;93.10909;-1;99.86818;92.94091;1.346962;-0.1681747;1.346962;-0.1681747;0.09179688;True
