ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX;AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;0;7;5.882202;0;139.2189;74.94924;0;0;139.2189;74.94924;0.01719609;0.03463609;-0.9937143;89.00919;88.00404;177.7715;2019/08/06 14:57:26;C
 ;12;1;7;5.915894;0;139.1227;74.94924;-0.09620667;0;139.2189;74.94924;0.01487888;0.02805035;-0.9935923;89.1424;88.38307;178.1695;2019/08/06 14:57:26;C
 ;12;2;7;5.949463;0;139.1227;74.94924;0;0;139.2189;74.94924;0.01536672;0.03012364;-0.9872505;89.10867;88.2525;178.0381;2019/08/06 14:57:26;C
 ;12;3;7;7.394775;1;99.38712;75.62273;0;0;99.38712;75.62273;0.01573259;0.03244084;-0.9778597;89.07877;88.10014;177.8884;2019/08/06 14:57:27;C
 ;12;4;7;7.428467;1;99.38712;75.62273;0;0;99.38712;75.62273;0.01122014;0.03341651;-0.9896897;89.35083;88.06628;177.9601;2019/08/06 14:57:27;C
 ;12;5;7;7.462036;1;99.38712;75.62273;0;0;99.38712;75.62273;0.01622042;0.02987972;-0.9855431;89.05752;88.26366;178.0242;2019/08/06 14:57:27;C
 ;12;6;7;8.637939;2;139.2189;74.27576;0;0;139.2189;74.27576;0.01695217;0.03524588;-1.007496;89.03661;87.99668;177.7768;2019/08/06 14:57:28;C
 ;12;7;7;8.671509;2;139.2189;74.17954;0;-0.09621429;139.2189;74.27576;0.01426909;0.02951385;-0.9895676;89.17424;88.29183;178.1026;2019/08/06 14:57:28;C
 ;12;8;7;8.705078;2;139.0074;73.98712;-0.2115479;-0.192421;139.2189;74.27576;0.01634238;0.03134322;-0.9900556;89.0548;88.18698;177.9553;2019/08/06 14:57:28;C
 ;12;9;7;8.73877;2;139.0265;73.98712;0.01913452;0;139.2189;74.27576;0.01683021;0.03390434;-0.9898117;89.02644;88.03848;177.8099;2019/08/06 14:57:29;C
 ;12;10;7;10.78906;3;62.15303;75.43031;0;0;62.15303;75.43031;0.01475693;0.03439217;-1.003471;89.15797;88.03727;177.8642;2019/08/06 14:57:31;C
 ;12;11;7;10.82275;3;62.15303;75.43031;0;0;62.15303;75.43031;0.01573259;0.03244084;-0.9962754;89.09577;88.13522;177.9274;2019/08/06 14:57:31;C
 ;12;12;7;10.85571;3;62.15303;75.43031;0;0;62.15303;75.43031;0.01341539;0.03280672;-0.9928606;89.2263;88.10765;177.9556;2019/08/06 14:57:31;C
 ;12;13;7;11.99829;4;100.7341;76.10378;0;0;100.7341;76.10378;0.01744;0.03207497;-0.9963974;88.99776;88.15651;177.9015;2019/08/06 14:57:32;C
 ;12;14;7;12.03186;4;100.7341;76.10378;0;0;100.7341;76.10378;0.01475693;0.03085539;-0.9956656;89.15127;88.22518;178.0326;2019/08/06 14:57:32;C
 ;12;15;7;12.97278;5;98.23257;34.54015;0;0;98.23257;34.54015;0.01548867;0.03183106;-0.9810306;89.09595;88.14183;177.9334;2019/08/06 14:57:33;C
 ;12;16;7;13.00635;5;98.23257;34.39583;0;-0.1443176;98.23257;34.54015;0.01573259;0.03268476;-0.9855431;89.08594;88.10076;177.892;2019/08/06 14:57:33;C
 ;12;17;7;14.98999;6;100.1568;36.56061;0;0;100.1568;36.56061;0.01573259;0.03061147;-0.9602978;89.06187;88.17444;177.9474;2019/08/06 14:57:35;C
 ;12;18;7;15.02368;6;100.0125;36.56061;-0.1443176;0;100.1568;36.56061;0.01231776;0.03524588;-0.9966413;89.29234;87.97475;177.8546;2019/08/06 14:57:35;C
 ;12;19;7;15.05725;6;100.0606;36.56061;0.04811096;0;100.1568;36.56061;0.01756196;0.03414825;-0.9999341;88.99439;88.04438;177.8008;2019/08/06 14:57:35;C
 ;12;20;7;16.09949;7;101.7924;75.23788;0;0;101.7924;75.23788;0.01561063;0.03183106;-0.9787135;89.08668;88.13744;177.9255;2019/08/06 14:57:36;C
 ;12;21;7;16.13318;7;101.5949;75.13657;-0.197525;-0.1013031;101.7924;75.23788;0.01536672;0.03341651;-0.99469;89.11541;88.0761;177.8823;2019/08/06 14:57:36;C
 ;12;22;7;16.16675;7;101.3075;75.04163;-0.2873611;-0.09494019;101.7924;75.23788;0.01622042;0.03305063;-0.9942021;89.06581;88.09624;177.8792;2019/08/06 14:57:36;C
 ;12;23;7;17.1073;8;98.52122;35.69469;0;0;98.52122;35.69469;0.01536672;0.03292868;-0.9899336;89.11116;88.09506;177.8978;2019/08/06 14:57:37;C
 ;12;24;7;17.14099;8;98.52122;35.31809;0;-0.3766022;98.52122;35.69469;0.01463497;0.0310993;-0.9932264;89.15623;88.20676;178.018;2019/08/06 14:57:37;C
 ;12;25;7;17.17456;8;98.80323;35.02782;0.2820129;-0.2902679;98.52122;35.69469;0.01231776;0.02939189;-0.9877383;89.28584;88.29569;178.152;2019/08/06 14:57:37;C
 ;12;26;7;17.20813;8;99.09061;34.74044;0.287384;-0.2873802;98.52122;35.69469;0.01744;0.03585567;-1.00152;89.00301;87.94991;177.7202;2019/08/06 14:57:37;C
 ;12;27;7;19.05676;9;100.5417;114.4924;0;0;100.5417;114.4924;0.01548867;0.03280672;-0.9910312;89.10509;88.10423;177.9035;2019/08/06 14:57:39;C
 ;12;28;7;19.09045;9;100.2648;114.4924;-0.2768326;0;100.5417;114.4924;0.0151228;0.03268476;-0.9970071;89.13145;88.12257;177.9312;2019/08/06 14:57:39;C
 ;12;29;7;19.12402;9;99.97637;114.3962;-0.2884598;-0.09622192;100.5417;114.4924;0.01378126;0.03122126;-0.9896897;89.20261;88.19329;178.025;2019/08/06 14:57:39;C
 ;12;30;7;19.15759;9;99.72386;114.3962;-0.2525101;0;100.5417;114.4924;0.01573259;0.0340263;-0.994812;89.09448;88.04127;177.8419;2019/08/06 14:57:39;C
 ;12;31;7;20.09875;10;99.96439;76.10378;0;0;99.96439;76.10378;0.01548867;0.03012364;-0.9982267;89.11146;88.27171;178.0565;2019/08/06 14:57:40;C
 ;12;32;7;20.13245;10;99.96439;75.95947;0;-0.1443176;99.96439;76.10378;0.01475693;0.03341651;-0.9907872;89.14717;88.06852;177.8885;2019/08/06 14:57:40;C
 ;12;33;7;21.14075;11;99.96439;114.8773;0;0;99.96439;114.8773;0.01548867;0.03292868;-0.9821283;89.09699;88.07995;177.8781;2019/08/06 14:57:41;C
 ;12;34;7;21.17432;11;99.96439;114.8773;0;0;99.96439;114.8773;0.01573259;0.03268476;-0.9949338;89.09456;88.11867;177.9119;2019/08/06 14:57:41;C
 ;12;35;7;21.20801;11;99.96439;114.6848;0;-0.1924286;99.96439;114.8773;0.0151228;0.03244084;-0.9926167;89.12761;88.12833;177.9349;2019/08/06 14:57:41;C
 ;12;36;7;21.24158;11;99.76515;114.6848;-0.1992416;0;99.96439;114.8773;0.01561063;0.03268476;-0.99469;89.10136;88.1182;177.9145;2019/08/06 14:57:41;C
 ;12;37;7;21.27515;11;99.77197;114.6848;0.006813049;0;99.96439;114.8773;0.01585455;0.03500196;-0.9951777;89.08783;87.9859;177.7888;2019/08/06 14:57:41;C
 ;12;38;7;23.0896;12;99.33901;115.3583;0;0;99.33901;115.3583;0.01487888;0.03244084;-0.9949338;89.14368;88.13268;177.9455;2019/08/06 14:57:43;C
 ;12;39;7;23.12366;12;99.24281;115.1178;-0.09620667;-0.2405243;99.33901;115.3583;0.01329343;0.03292868;-0.9921288;89.23277;88.09923;177.9501;2019/08/06 14:57:43;C
 ;12;40;7;23.12366;12;99.29091;114.9254;0.04810333;-0.1924362;99.33901;115.3583;0.01573259;0.03317259;-0.994324;89.09402;88.08945;177.8854;2019/08/06 14:57:43;C
 ;12;41;7;23.15735;12;99.29091;114.9735;0;0.04811096;99.33901;115.3583;0.0165863;0.0325628;-0.9942021;89.04473;88.12433;177.8949;2019/08/06 14:57:43;C
 ;12;42;7;24.09839;13;99.57954;76.2;0;0;99.57954;76.2;0.01524476;0.0325628;-0.9905433;89.11874;88.11737;177.9212;2019/08/06 14:57:44;C
 ;12;43;7;24.13196;13;99.57954;76.2;0;0;99.57954;76.2;0.01524476;0.03195301;-0.9942021;89.12196;88.1594;177.9606;2019/08/06 14:57:44;C
 ;12;44;7;24.16553;13;99.57954;76.2;0;0;99.57954;76.2;0.01548867;0.03244084;-0.9921288;89.10607;88.12742;177.9249;2019/08/06 14:57:44;C
 ;12;45;7;25.00586;14;98.90606;35.11742;0;0;98.90606;35.11742;0.0151228;0.03158714;-0.9920068;89.12705;88.17643;177.9781;2019/08/06 14:57:45;C
 ;12;46;7;25.03943;14;98.80984;34.81382;-0.09621429;-0.3036003;98.90606;35.11742;0.01463497;0.02975777;-0.9833478;89.14773;88.26685;178.0686;2019/08/06 14:57:45;C
 ;12;47;7;25.073;14;98.71364;34.82879;-0.09620667;0.01496506;98.90606;35.11742;0.01341539;0.03085539;-0.9987146;89.23077;88.23056;178.0704;2019/08/06 14:57:45;C
