ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX;AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;0;13;1.412109;0;100.0606;31.75;0;0;100.0606;31.75;0.1940353;0.00939077;-0.9491996;78.44732;89.44465;168.4336;2019/08/07 13:11:09;S
 ;12;1;13;1.81543;1;102.3697;75.33409;0;0;102.3697;75.33409;0.427585;-0.09366379;-0.5950334;54.63098;97.28452;143.6607;2019/08/07 13:11:09;S
 ;12;2;13;1.848633;1;102.2735;75.23788;-0.09621429;-0.09621429;102.3697;75.33409;0.1062255;-0.04719777;-1.077377;84.3744;92.49632;173.8421;2019/08/07 13:11:09;S
 ;12;3;13;2.151367;2;57.43864;69.46515;0;0;57.43864;69.46515;0.1851323;0.01292755;-0.7744337;76.55727;89.06985;166.5239;2019/08/07 13:11:09;S
 ;12;4;13;2.185547;2;57.43864;69.46515;0;0;57.43864;69.46515;0.1048839;-0.01670825;-1.006764;84.05323;90.94567;173.978;2019/08/07 13:11:09;S
 ;12;5;13;3.933594;3;58.92992;72.68826;0;0;58.92992;72.68826;0.03719721;0.05414938;-0.8911475;87.6142;86.52579;175.7838;2019/08/07 13:11:11;S
 ;12;6;13;3.966797;3;58.97803;72.73636;0.04810715;0.04810333;58.92992;72.68826;0.1815955;0.04146574;-1.135551;80.92023;87.93493;170.6845;2019/08/07 13:11:11;S
 ;12;7;13;4.302734;4;102.4659;74.94924;0;0;102.4659;74.94924;0.473929;-0.05024672;-0.4430736;43.2555;94.42857;132.9131;2019/08/07 13:11:12;S
 ;12;8;13;4.336914;4;102.4659;74.94924;0;0;102.4659;74.94924;0.1451301;-0.01329343;-1.138966;82.73884;90.66333;172.7083;2019/08/07 13:11:12;S
 ;12;9;13;4.572266;5;103.2356;31.55758;0;0;103.2356;31.55758;0.4034373;0.006585735;-0.6055217;56.32747;89.48141;146.3224;2019/08/07 13:11:12;S
 ;12;10;13;4.605469;5;103.0381;31.3601;-0.1974792;-0.1974735;103.2356;31.55758;0.1920839;0.06561343;-1.01274;79.28236;86.35785;168.6665;2019/08/07 13:11:12;S
 ;12;11;13;6.185547;6;97.27045;33.96288;0;0;97.27045;33.96288;0.3064806;0.03561175;-0.7541887;67.90683;87.49521;157.7503;2019/08/07 13:11:13;S
 ;12;12;13;6.21875;6;97.27045;33.96288;0;0;97.27045;33.96288;0.1268364;-0.03183106;-0.97725;82.60885;91.85007;172.3783;2019/08/07 13:11:13;S
 ;12;13;13;6.521484;7;99.00227;74.94924;0;0;99.00227;74.94924;0.4995402;0.02109874;-0.4774658;43.7336;88.25114;133.6802;2019/08/07 13:11:14;S
 ;12;14;13;6.554688;7;99.00227;74.94924;0;0;99.00227;74.94924;0.1008593;-0.05305176;-1.080792;84.67498;92.79802;173.9808;2019/08/07 13:11:14;S
 ;12;15;13;6.857422;8;100.3492;115.5508;0;0;100.3492;115.5508;-0.08598043;0.03305063;-1.203482;94.0849;88.43091;175.6231;2019/08/07 13:11:14;S
 ;12;16;13;8.639648;9;98.90606;110.0667;0;0;98.90606;110.0667;0.05878378;0.1037863;-1.212751;87.23505;85.1143;174.3829;2019/08/07 13:11:16;S
