ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX;AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;0;8;0.8071289;0;98.32878;37.13788;0;0;98.32878;37.13788;0.1934255;0.09171246;-0.8980992;77.90677;84.29909;166.5934;2019/08/07 10:25:38;C
 ;12;1;8;1.008789;1;96.01969;74.27576;0;0;96.01969;74.27576;0.2598926;0.119275;-0.7396756;70.8694;81.34961;158.8637;2019/08/07 10:25:38;C
 ;12;2;8;1.04248;1;96.01969;74.27576;0;0;96.01969;74.27576;0.1708632;0.1098842;-1.023838;80.57863;83.95707;168.7773;2019/08/07 10:25:38;C
 ;12;3;8;1.075928;1;96.27506;74.88271;0.2553711;0.6069565;96.01969;74.27576;0.2396476;0.16879;-1.161285;78.45786;81.89847;165.8337;2019/08/07 10:25:38;C
 ;12;4;8;1.344971;2;140.2773;72.15909;0;0;140.2773;72.15909;0.2357449;0.1139088;-0.6825992;71.18843;81.0364;159.0149;2019/08/07 10:25:39;C
 ;12;5;8;2.824463;3;142.2015;78.41288;0;0;142.2015;78.41288;0.1611066;0.0869561;-0.9241982;80.15417;84.70436;168.7952;2019/08/07 10:25:40;C
 ;12;6;8;2.858154;3;142.0091;78.31667;-0.1923828;-0.09621429;142.2015;78.41288;0.1904985;0.1120795;-1.198848;81.00967;84.72478;169.554;2019/08/07 10:25:40;C
 ;12;7;8;3.093506;4;100.7341;71.87045;0;0;100.7341;71.87045;0.3759967;0.1678143;-0.5868622;58.36693;76.46236;144.9462;2019/08/07 10:25:40;C
 ;12;8;8;3.126953;4;100.5383;71.67466;-0.1957855;-0.1957932;100.7341;71.87045;0.1229337;0.08512672;-1.01713;83.13224;85.25029;171.6367;2019/08/07 10:25:40;C
 ;12;9;8;3.328857;5;99.85551;36.45172;0;0;99.85551;36.45172;0.2579413;0.1719609;-0.9055386;74.36587;79.64989;161.1016;2019/08/07 10:25:41;C
 ;12;10;8;3.362305;5;99.57117;35.87037;-0.2843399;-0.5813484;99.85551;36.45172;0.2312325;0.1186652;-0.9760303;76.76571;83.25299;165.0889;2019/08/07 10:25:41;C
 ;12;11;8;4.942627;6;55.41818;71.77424;0;0;55.41818;71.77424;0.3716062;0.2059872;-0.7465053;64.36546;76.12447;150.3533;2019/08/07 10:25:42;C
 ;12;12;8;4.976318;6;55.41818;71.77424;0;0;55.41818;71.77424;0.2364767;0.1443983;-0.9259056;75.8371;81.40742;163.3401;2019/08/07 10:25:42;C
 ;12;13;8;5.279053;7;97.36666;73.21742;0;0;97.36666;73.21742;0.1775709;0.08805372;-0.8116309;77.72891;83.9502;166.2767;2019/08/07 10:25:43;C
 ;12;14;8;5.312744;7;97.36666;73.21742;0;0;97.36666;73.21742;0.2766009;0.1161041;-0.9790793;74.32877;83.48966;162.9655;2019/08/07 10:25:43;C
 ;12;15;8;5.548096;8;140.1811;72.64015;0;0;140.1811;72.64015;0.2119631;0.08780981;-0.8443156;75.97991;84.24;164.7977;2019/08/07 10:25:43;C
 ;12;16;8;7.027588;9;139.6038;71.58182;0;0;139.6038;71.58182;0.2446479;0.0628084;-0.8649265;74.24565;86.00291;163.7208;2019/08/07 10:25:44;C
 ;12;17;8;7.061035;9;139.3039;71.4856;-0.2998505;-0.09621429;139.6038;71.58182;0.2385499;0.07902882;-1.067743;77.43934;85.86846;166.7561;2019/08/07 10:25:44;C
 ;12;18;8;7.262939;10;100.4455;70.33106;0;0;100.4455;70.33106;0.3427021;0.1161041;-0.8285831;67.72606;82.62209;156.4095;2019/08/07 10:25:45;C
 ;12;19;8;7.296387;10;100.4455;70.12328;0;-0.2077789;100.4455;70.33106;0.2203782;0.07671162;-0.9504191;76.98612;85.50423;166.2055;2019/08/07 10:25:45;C
 ;12;20;8;7.56543;11;141.6242;75.52651;0;0;141.6242;75.52651;0.2868454;0.05561287;-0.767604;69.55895;86.1175;159.1608;2019/08/07 10:25:45;C
 ;12;21;8;7.599121;11;141.528;75.52651;-0.09620667;0;141.6242;75.52651;0.1726926;0.04195357;-1.047986;80.64994;87.738;170.3754;2019/08/07 10:25:45;C
 ;12;22;8;9.112305;12;100.5417;36.27197;0;0;100.5417;36.27197;0.3540442;0.154033;-0.8515112;67.74841;80.51735;155.6091;2019/08/07 10:25:46;C
 ;12;23;8;9.145752;12;100.5417;36.27197;0;0;100.5417;36.27197;0.229647;0.06122294;-0.8495598;74.91105;86.02048;164.3708;2019/08/07 10:25:46;C
 ;12;24;8;9.380615;13;91.59393;75.81515;0;0;91.59393;75.81515;0.2373304;0.09000505;-0.9001724;75.30017;84.47765;164.253;2019/08/07 10:25:47;C
 ;12;25;8;9.414307;13;91.59393;75.81515;0;0;91.59393;75.81515;0.232696;0.08463889;-1.02835;77.29135;85.41036;166.4618;2019/08/07 10:25:47;C
 ;12;26;8;9.717041;14;140.9508;74.85303;0;0;140.9508;74.85303;0.2357449;0.03134322;-0.8251683;74.06663;87.90833;163.9226;2019/08/07 10:25:47;C
 ;12;27;8;9.750732;14;140.8545;74.75681;-0.09622192;-0.09621429;140.9508;74.85303;0.2206221;0.04195357;-1.024448;77.85644;87.70741;167.6354;2019/08/07 10:25:47;C
 ;12;28;8;11.26343;15;58.88182;71.29318;0;0;58.88182;71.29318;0.3496538;0.1447642;-0.8217534;67.26414;80.79237;155.2728;2019/08/07 10:25:48;C
 ;12;29;8;11.29712;15;58.78561;71.11334;-0.09621048;-0.1798401;58.88182;71.29318;0.2251346;0.1006154;-0.9710301;77.01369;84.23611;165.7508;2019/08/07 10:25:49;C
 ;12;30;8;11.53247;16;101.4076;71.87045;0;0;101.4076;71.87045;0.2648929;0.09000505;-0.7783363;71.32067;83.75262;160.2294;2019/08/07 10:25:49;C
 ;12;31;8;11.56616;16;101.4076;71.49445;0;-0.3760071;101.4076;71.87045;0.2106216;0.07549204;-1.07567;78.94787;86.06006;168.2498;2019/08/07 10:25:49;C
 ;12;32;8;11.80151;17;96.59697;33.77045;0;0;96.59697;33.77045;0.322823;0.1379346;-0.8446815;69.33417;81.32711;157.4318;2019/08/07 10:25:49;C
 ;12;33;8;11.83496;17;96.59697;33.67161;0;-0.09884262;96.59697;33.77045;0.2403793;0.08415106;-0.9237103;75.47092;84.96156;164.5855;2019/08/07 10:25:49;C
