ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX;AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;29;12;12.30176;14;101.3076;35.78712;0;0;101.3076;35.78712;0.3759967;0.05927162;-0.820168;65.42793;86.24144;155.104;2019/08/07 12:44:19;C
 ;12;30;12;12.33594;14;101.167;35.64659;-0.1405334;-0.1405334;101.3076;35.78712;0.3491659;0.06634519;-0.9527363;69.91748;86.2591;159.5422;2019/08/07 12:44:19;C
 ;12;31;12;14.08301;15;58.20834;76.48864;0;0;58.20834;76.48864;0.3679475;0.08671218;-0.9774939;69.44662;85.25409;158.857;2019/08/07 12:44:21;C
 ;12;32;12;14.11719;15;58.34354;76.62385;0.1352081;0.1352081;58.20834;76.48864;0.3689231;0.07219917;-0.9552975;68.93888;85.96715;158.5197;2019/08/07 12:44:21;C
 ;12;33;12;14.65527;16;100.7341;73.89091;0;0;100.7341;73.89091;0.3368482;0.06475972;-0.9862748;71.18079;86.44439;160.8228;2019/08/07 12:44:21;C
 ;12;34;12;15.05859;17;102.947;114.8773;0;0;102.947;114.8773;0.392583;0.0279284;-0.6705254;59.67328;87.94144;149.5885;2019/08/07 12:44:22;C
 ;12;35;12;15.0918;17;102.7064;114.7811;-0.2405396;-0.09621429;102.947;114.8773;0.3585567;0.1026887;-1.046888;71.17771;84.69827;160.3907;2019/08/07 12:44:22;C
 ;12;36;12;16.83984;18;99.67576;34.73257;0;0;99.67576;34.73257;0.3477024;0.05305176;-0.8037036;66.65083;86.5331;156.3643;2019/08/07 12:44:23;C
 ;12;37;12;16.87305;18;99.67576;34.63636;0;-0.09621048;99.67576;34.73257;0.3523368;0.06951609;-0.9967632;70.5761;86.23795;160.1861;2019/08/07 12:44:24;C
 ;12;38;12;17.31055;19;101.5038;76.29621;0;0;101.5038;76.29621;0.395388;0.06488169;-0.7656527;62.77135;85.69411;152.3763;2019/08/07 12:44:24;C
 ;12;39;12;17.34375;19;101.3114;76.2;-0.1924286;-0.09621429;101.5038;76.29621;0.3580689;0.07293092;-0.99469;70.25101;86.05361;159.8281;2019/08/07 12:44:24;C
 ;12;40;12;17.74707;20;102.947;116.0318;0;0;102.947;116.0318;0.2873332;0.08841959;-1.082256;75.17849;85.48507;164.4757;2019/08/07 12:44:24;C
 ;12;41;12;17.78125;20;103.2505;115.9874;0.3035431;-0.04438019;102.947;116.0318;0.360752;0.1012252;-1.060913;71.29894;84.83827;160.5482;2019/08/07 12:44:24;C
 ;12;42;12;19.42773;21;57.63106;78.39143;0;0;57.63106;78.39143;0.3695329;0.06988197;-0.8891962;67.49561;85.84917;157.0742;2019/08/07 12:44:26;C
 ;12;43;12;19.46191;21;57.63106;78.10329;0;-0.2881393;57.63106;78.39143;0.3564834;0.06341819;-0.968225;69.8269;86.4827;159.496;2019/08/07 12:44:26;C
 ;12;44;12;19.93262;22;101.3114;75.52651;0;0;101.3114;75.52651;0.3785578;0.04902714;-0.8055329;64.86971;86.84713;154.645;2019/08/07 12:44:27;C
 ;12;45;12;19.96582;22;101.167;75.52651;-0.14431;0;101.3114;75.52651;0.3730697;0.07171134;-0.9668834;68.95373;86.0417;158.5496;2019/08/07 12:44:27;C
 ;12;46;12;20.43652;23;101.3595;116.5129;0;0;101.3595;116.5129;0.3379458;0.08049233;-0.9935923;71.27259;85.6142;160.7283;2019/08/07 12:44:27;C
 ;12;47;12;20.46973;23;101.4076;116.5129;0.04811096;0;101.3595;116.5129;0.3988028;0.08146799;-0.9122463;66.47011;85.32206;155.9538;2019/08/07 12:44:27;C
 ;12;48;12;22.15039;24;139.8924;75.81515;0;0;139.8924;75.81515;0.3327016;0.07110155;-1.032619;72.18098;86.25031;161.7646;2019/08/07 12:44:29;C
 ;12;49;12;22.18457;24;139.7276;75.88379;-0.164856;0.06864166;139.8924;75.81515;0.3375799;0.0302456;-0.9618832;70.66994;88.30053;160.5894;2019/08/07 12:44:29;C
 ;12;50;12;22.62109;25;100.9537;77.2855;0;0;100.9537;77.2855;0.3646546;0.0491491;-0.8445596;66.68204;86.94173;156.4585;2019/08/07 12:44:29;C
 ;12;51;12;22.65527;25;100.7616;76.76372;-0.1920319;-0.5217819;100.9537;77.2855;0.3520929;0.05561287;-0.9988365;70.61008;86.99411;160.3599;2019/08/07 12:44:29;C
 ;12;52;12;23.02441;26;104.0053;36.75303;0;0;104.0053;36.75303;0.3970954;0.0793947;-0.8211436;64.29646;85.02527;153.7494;2019/08/07 12:44:30;C
 ;12;53;12;23.05859;26;104.0053;36.65682;0;-0.09621429;104.0053;36.75303;0.3796555;0.05768616;-0.8593165;66.2112;86.4862;155.921;2019/08/07 12:44:30;C
 ;12;54;12;24.67188;27;102.3474;115.7209;0;0;102.3474;115.7209;0.3445315;0.08012644;-0.9454188;70.04301;85.44717;159.4868;2019/08/07 12:44:31;C
 ;12;55;12;24.70508;27;102.1773;115.4347;-0.1701584;-0.2862396;102.3474;115.7209;0.3302624;0.08915135;-1.075914;72.99052;85.47087;162.3621;2019/08/07 12:44:31;C
 ;12;56;12;25.20996;28;100.5417;76.00758;0;0;100.5417;76.00758;0.3718501;0.06024728;-0.8206558;65.68192;86.17436;155.3438;2019/08/07 12:44:32;C
 ;12;57;12;25.24316;28;100.5417;75.58543;0;-0.4221497;100.5417;76.00758;0.3511173;0.0628084;-0.9441993;69.64275;86.43229;159.3049;2019/08/07 12:44:32;C
 ;12;58;12;25.27637;28;100.6093;74.99607;0.06760406;-0.5893555;100.5417;76.00758;0.3562395;0.04866127;-0.9511509;69.49189;87.25703;159.2927;2019/08/07 12:44:32;C
 ;12;59;12;25.68066;29;101.6962;37.52273;0;0;101.6962;37.52273;0.3544101;0.05512504;-0.9131;68.82193;86.77875;158.5548;2019/08/07 12:44:32;C
 ;12;60;12;25.71387;29;101.5519;37.52273;-0.1443253;0;101.6962;37.52273;0.369411;0.06171078;-0.9370038;68.52558;86.49387;158.2129;2019/08/07 12:44:32;C
 ;12;61;12;25.74707;29;101.6;37.52273;0.04811096;0;101.6962;37.52273;0.372094;0.0680526;-1.016886;69.94294;86.40384;159.5956;2019/08/07 12:44:32;C
 ;12;62;12;27.5293;30;102.8508;36.07954;0;0;102.8508;36.07954;0.3686792;0.101713;-0.8611458;66.96621;83.80304;156.053;2019/08/07 12:44:34;C
 ;12;63;12;27.5625;30;103.0735;36.62127;0.2227554;0.5417213;102.8508;36.07954;0.3223352;0.09890798;-0.9907872;72.06202;84.57714;161.2063;2019/08/07 12:44:34;C
 ;12;64;12;28.0332;31;99.00227;77.73939;0;0;99.00227;77.73939;0.3735575;0.07976057;-0.8579749;66.56205;85.12815;156.001;2019/08/07 12:44:35;C
 ;12;65;12;28.06641;31;99.00227;77.64318;0;-0.09620667;99.00227;77.73939;0.3579469;0.08646826;-0.985665;70.11173;85.28622;159.5144;2019/08/07 12:44:35;C
 ;12;66;12;28.50391;32;140.9508;78.41288;0;0;140.9508;78.41288;0.3484342;0.06866239;-0.9459068;69.827;86.10332;159.4217;2019/08/07 12:44:35;C
 ;12;67;12;28.53711;32;140.9508;78.41288;0;0;140.9508;78.41288;0.3323357;0.06597931;-0.9844454;71.38487;86.36654;161.0078;2019/08/07 12:44:35;C
