StudyID;UserID;Age;Gender;DominantHand;DominantEye;LongNails;TargetSize;ColliderSize;Delay;TouchID;TargetID;TargetCombination;Outset;Goal;MistakeOccured;HitType;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TargetDistance;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;CrossTargets
;0;21;M;R;R;No;6;18;1;23;7;EE;E;E;No;Goal;2.289.935;2.307.217;0.5092773;1.304.644;5.654.025;4.000.001;1.313.854;5.738.835;2.122.482;2.120.258;0.9210052;0.8481064;0.172821;False
;0;21;M;R;R;No;6;18;1;24;8;EN;E;N;No;Outset;246.012;2.475.192;1.701.843;1.304.644;5.654.025;-1;1.314.561;5.795.375;1.557.068;2.544.315;0.9916687;1.413.509;0.1507263;False
;0;21;M;R;R;No;6;18;1;25;8;EN;E;N;No;Center;2.527.023;2.538.623;0.6690369;9.046.439;5.654.025;4.000.001;9.021.626;5.824.587;2.049.583;0.7774277;-0.2481384;1.705.624;0.1159973;False
;0;21;M;R;R;No;6;18;1;26;8;EN;E;N;No;Goal;2.582.281;2.592.554;0.5525818;9.046.439;9.654.025;40;9.115.614;9.822.366;1.201.477;3.394.646;0.6917419;1.683.418;0.1027222;False
;0;21;M;R;R;No;6;18;1;27;9;EW;E;W;No;Outset;2.741.003;2.752.295;1.587.219;1.304.644;5.654.025;-1;1.300.426;5.851.916;0.8503113;1.625.534;-0.4218292;1.978.912;0.112915;False
;0;21;M;R;R;No;6;18;1;28;9;EW;E;W;No;Center;2.794.247;2.801.062;0.5324402;9.046.439;5.654.025;4.000.001;912.341;586.605;1.484.184;2.544.315;0.7697067;2.120.258;0.06814575;False
;0;21;M;R;R;No;6;18;1;29;9;EW;E;W;No;Goal;2.843.539;2.853.229;0.4929199;5.046.439;5.654.025;40;5.194.635;580.951;2.400.734;1.696.205;1.481.956;1.554.859;0.09689331;False
;0;21;M;R;R;No;6;18;1;30;10;WE;W;E;No;Outset;3.025.311;3.031.613;1.817.719;5.046.439;5.654.025;-1;512.396;589.432;1.199.257;2.049.583;0.7752037;2.402.958;0.0630188;False
;0;21;M;R;R;No;6;18;1;31;10;WE;W;E;No;Center;3.073.553;3.080.331;0.4824219;9.046.439;5.654.025;40;9.046.439;5.922.591;0.4947281;2.827.011;0;2.685.661;0.06777954;False
;0;21;M;R;R;No;6;18;1;32;10;WE;W;E;No;Goal;3.125.665;3.134.201;0.5211182;1.304.644;5.654.025;4.000.001;1.308.907;5.689.362;1.203.705;0.7067566;0.4262695;0.3533745;0.08535767;False
;0;21;M;R;R;No;6;18;1;33;11;WE;W;E;No;Outset;3.312.488;3.319.183;1.868.225;5.046.439;5.654.025;-1;5.010.879;5.795.375;-0.3556023;1.342.831;-0.3556023;1.413.509;0.06695557;False
;0;21;M;R;R;No;6;18;1;34;11;WE;W;E;No;Center;3.366.226;3.378.323;0.537384;9.046.439;5.654.025;40;9.124.182;580.951;0.9187775;2.190.937;0.7774277;1.554.859;0.1209717;False
;0;21;M;R;R;No;6;18;1;35;11;WE;W;E;No;Goal;3.426.984;3.436.957;0.6075745;1.304.644;5.654.025;4.000.001;1.309.613;578.124;0.4262695;2.049.583;0.4969482;1.272.152;0.09973145;False
;0;21;M;R;R;No;6;18;1;36;12;ES;E;S;No;Outset;3.600.732;3.611.847;1.737.488;1.304.644;5.654.025;-1;1.294.065;5.646.957;0.1435699;0.4240532;-1.057.907;-0.0706749;0.111145;False
;0;21;M;R;R;No;6;18;1;37;12;ES;E;S;No;Center;3.645.435;365.564;0.4470215;9.046.439;5.654.025;4.000.001;9.117.115;569.643;0.7774277;0.9894562;0.7067566;0.4240532;0.1020508;False
;0;21;M;R;R;No;6;18;1;38;12;ES;E;S;No;Goal;3.690.823;3.699.533;0.4538879;9.046.439;1.654.025;3.999.999;9.088.844;177.395;0.1413498;225.938;0.4240494;1.199.251;0.08709717;False
;0;21;M;R;R;No;6;18;1;39;13;EW;E;W;No;Outset;3.859.808;3.867.609;168.985;1.304.644;5.654.025;-1;1.292.595;5.759.896;0.1435699;1.766.884;-120.491;105.872;0.07800293;False
;0;21;M;R;R;No;6;18;1;40;13;EW;E;W;No;Center;3.902.826;3.911.255;0.4301758;9.046.439;5.654.025;4.000.001;9.039.371;5.767.105;0;1.554.859;-0.07067871;1.130.802;0.08428955;False
;0;21;M;R;R;No;6;18;1;41;13;EW;E;W;No;Goal;3.951.892;3.961.957;0.4906616;5.046.439;5.654.025;40;523.704;5.887.253;3.460.861;-0.2826996;190.601;2.332.287;0.100647;False
;0;21;M;R;R;No;6;18;1;42;14;WE;W;E;No;Outset;4.120.135;4.129.956;1.682.434;5.046.439;5.654.025;-1;4.933.934;5.724.434;-127.438;148.418;-112.505;0.7040901;0.09820557;False
;0;21;M;R;R;No;6;18;1;43;14;WE;W;E;No;Center;4.162.112;4.170.346;0.4197693;9.046.439;5.654.025;40;9.114.338;5.944.719;1.413.506;3.251.064;0.6789856;2.906.944;0.08233643;False
;0;21;M;R;R;No;6;18;1;44;14;WE;W;E;No;Goal;4.202.643;4.214.014;0.405304;1.304.644;5.654.025;4.000.001;1.289.118;5.717.632;-1.906.021;1.130.802;-1.552.643;0.6360779;0.1137085;False
;0;21;M;R;R;No;6;18;1;45;15;NS;N;S;No;Outset;4.372.278;4.380.722;169.635;9.046.439;9.654.025;-1;921.606;9.371.545;2.261.604;-1.623.306;1.696.205;-2.824.791;0.08444214;False
;0;21;M;R;R;No;6;18;1;46;15;NS;N;S;No;Center;4.414.206;4.420.981;0.419281;9.046.439;5.654.025;40;9.074.709;589.432;0.3533783;289.769;0.2826996;2.402.958;0.06774902;False
;0;21;M;R;R;No;6;18;1;47;15;NS;N;S;No;Goal;4.457.956;4.464.731;0.4375;9.046.439;1.654.025;3.999.999;9.124.182;1.696.207;0.9894485;0.6338482;0.7774277;0.4218216;0.06774902;False
;0;21;M;R;R;No;6;18;1;48;16;SS;S;S;No;Outset;4.631.281;4.639.981;1.733.246;9.046.439;1.654.025;-1;9.067.641;1.738.613;0.8481064;0.5631733;0.2120209;0.8458748;0.08700562;False
;0;21;M;R;R;No;6;18;1;49;16;SS;S;S;No;Center;4.686.801;4.695.181;0.5552063;9.046.439;5.654.025;3.999.999;9.347.425;5.713.483;2.544.312;1.413.509;3.009.857;0.5945892;0.08380127;False
;0;21;M;R;R;No;6;18;1;50;16;SS;S;S;No;Goal;4.735.474;4.743.939;0.4867249;9.046.439;1.654.025;3.999.999;9.117.115;1.752.748;0.7774277;1.835.329;0.7067566;0.9872246;0.08465576;False
;0;21;M;R;R;No;6;18;1;51;17;SE;S;E;No;Outset;4.910.733;4.921.033;1.752.594;9.046.439;1.654.025;-1;9.194.858;1.795.153;1.413.506;2.542.082;1.484.184;1.411.278;0.1029968;False
;0;21;M;R;R;No;6;18;1;52;17;SE;S;E;No;Center;4.964.322;4.972.736;0.5358887;9.046.439;5.654.025;3.999.999;9.253.087;5.761.727;2.261.604;0.9894562;2.066.475;1.077.023;0.08413696;False
;0;21;M;R;R;No;6;18;1;53;17;SE;S;E;No;Goal;500.834;50.181;0.4401855;1.304.644;5.654.025;4.000.001;1.313.147;5.689.362;1.274.368;0.4947281;0.8503113;0.3533745;0.09759521;False
;0;21;M;R;R;No;6;18;1;54;18;NN;N;N;No;Outset;5.180.032;5.186.435;1.716.919;9.046.439;9.654.025;-1;9.145.384;9.830.935;1.201.477;226.384;0.9894485;1.769.104;0.06402588;False
;0;21;M;R;R;No;6;18;1;55;18;NN;N;N;No;Center;5.220.187;5.226.678;0.4015503;9.046.439;5.654.025;40;9.194.858;5.880.185;1.837.563;2.473.637;1.484.184;2.261.608;0.06491089;False
;0;21;M;R;R;No;6;18;1;56;18;NN;N;N;No;Goal;5.265.372;5.274.005;0.4518433;9.046.439;9.654.025;40;910.298;9.746.125;1.413.506;-0.563179;0.5654068;0.9210052;0.08633423;False
;0;21;M;R;R;No;6;18;1;57;19;WN;W;N;No;Outset;5.443.628;5.452.103;1.782.562;5.046.439;5.654.025;-1;4.954.339;5.760.038;-0.2849274;1.201.481;-0.9210052;1.060.131;0.08474731;False
;0;21;M;R;R;No;6;18;1;58;19;WN;W;N;No;Center;5.480.637;5.489.148;0.3700867;9.046.439;5.654.025;40;8.919.224;5.957.928;-1.130.806;3.463.093;-1.272.156;303.904;0.08511353;False
;0;21;M;R;R;No;6;18;1;59;19;WN;W;N;No;Goal;552.767;5.534.467;0.4703369;9.046.439;9.654.025;40;9.071.599;9.519.964;0.3533783;-1.340.607;0.2515945;-1.340.607;0.06796265;False
;0;21;M;R;R;No;6;18;1;60;20;SN;S;N;No;Outset;5.697.586;5.704.382;1.699.158;9.046.439;1.654.025;-1;9.152.452;1.865.828;1.130.798;1.764.652;1.060.127;2.118.031;0.06796265;False
;0;21;M;R;R;No;6;18;1;61;20;SN;S;N;No;Center;5.744.669;5.751.566;0.4708252;9.046.439;5.654.025;3.999.999;9.336.208;5.540.944;3.180.389;-1.625.534;289.769;-1.130.806;0.06896973;False
;0;21;M;R;R;No;6;18;1;62;20;SN;S;N;No;Goal;579.563;5.801.892;0.509613;9.046.439;9.654.025;40;9.336.208;9.618.909;3.887.146;0.3555984;289.769;-0.3511505;0.06262207;False
;0;21;M;R;R;No;6;18;1;63;21;EN;E;N;No;Outset;5.960.242;5.973.965;1.646.118;1.304.644;5.654.025;-1;1.286.291;5.703.497;-1.764.664;1.766.884;-1.835.342;0.4947281;0.1372375;False
;0;21;M;R;R;No;6;18;1;64;21;EN;E;N;No;Center;6.005.557;6.010.568;0.4531555;9.046.439;5.654.025;4.000.001;9.117.352;6.014.943;0.5654068;3.533.764;0.7091293;3.609.184;0.05010986;False
;0;21;M;R;R;No;6;18;1;65;21;EN;E;N;No;Goal;6.047.772;6.054.456;0.4221497;9.046.439;9.654.025;40;9.251.398;9.625.977;2.049.583;-0.3511505;2.049.583;-0.2804794;0.0668335;False
;0;21;M;R;R;No;6;18;1;66;22;ES;E;S;No;Outset;6.234.213;6.244.406;186.441;1.304.644;5.654.025;-1;1.301.382;5.855.104;0.7089691;2.756.336;-0.3261566;2.010.799;0.1019287;False
;0;21;M;R;R;No;6;18;1;67;22;ES;E;S;No;Center;6.271.878;6.279.755;0.3766479;9.046.439;5.654.025;4.000.001;9.095.912;5.788.308;0.3533783;1.696.205;0.4947281;1.342.831;0.07876587;False
;0;21;M;R;R;No;6;18;1;68;22;ES;E;S;No;Goal;6.308.704;6.315.103;0.3682556;9.046.439;1.654.025;3.999.999;8.926.291;1.759.815;-1.130.806;1.128.576;-1.201.485;1.057.901;0.06399536;False
;0;21;M;R;R;No;6;18;1;69;23;NE;N;E;No;Outset;6.483.923;6.488.364;1.752.197;9.046.439;9.654.025;-1;9.256.769;9.574.808;2.261.604;-0.563179;2.103.294;-0.7921677;0.04440308;False
;0;21;M;R;R;No;6;18;1;70;23;NE;N;E;No;Center;6.521.909;6.527.151;0.3798523;9.046.439;5.654.025;40;913.125;5.816.578;0.8481064;2.190.937;0.8481064;1.625.534;0.0524292;False
;0;21;M;R;R;No;6;18;1;71;23;NE;N;E;No;Goal;6.560.532;6.567.398;0.3862305;1.304.644;5.654.025;4.000.001;1.335.057;5.731.767;3.253.281;1.413.509;304.126;0.7774277;0.06866455;False
;0;21;M;R;R;No;6;18;1;72;24;EE;E;E;No;Outset;6.723.889;673.223;1.633.575;1.304.644;5.654.025;-1;1.294.595;5.925.114;0.4262695;2.402.958;-1.004.883;2.710.899;0.08340454;False
;0;21;M;R;R;No;6;18;1;73;24;EE;E;E;No;Center;6.764.215;6.770.993;0.4032593;9.046.439;5.654.025;4.000.001;9.230.196;5.901.388;1.130.798;2.756.336;1.837.563;2.473.637;0.06777954;False
;0;21;M;R;R;No;6;18;1;74;24;EE;E;E;No;Goal;6.796.667;6.804.559;0.3245239;1.304.644;5.654.025;4.000.001;1.323.748;5.972.063;0.9210052;3.392.414;1.910.446;3.180.389;0.07891846;False
;0;21;M;R;R;No;6;18;1;75;25;EE;E;E;No;Outset;6.954.413;6.962.665;1.577.454;1.304.644;5.654.025;-1;1.295.029;5.887.253;0.4262695;2.685.661;-0.9615021;2.332.287;0.08251953;False
;0;21;M;R;R;No;6;18;1;76;25;EE;E;E;No;Center;6.998.193;7.008.087;0.4378052;9.046.439;5.654.025;4.000.001;9.223.128;5.979.131;2.190.933;4.028.496;1.766.884;3.251.064;0.09893799;False
;0;21;M;R;R;No;6;18;1;77;25;EE;E;E;No;Goal;7.041.644;704.845;0.4345093;1.304.644;5.654.025;4.000.001;1.303.253;5.731.767;0.002227783;1.060.131;-0.1391296;0.7774277;0.0680542;False
;0;21;M;R;R;No;6;18;1;78;26;SS;S;S;No;Outset;7.225.024;7.233.862;1.833.801;9.046.439;1.654.025;-1;9.095.912;1.653.802;0.9187775;0.7751999;0.4947281;-0.002227783;0.08837891;False
