ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX,AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;0;10;1.07666;0;96.50076;114.2038;0;0;96.50076;114.2038;0.3026999;0.1115916;-1.039814;73.85705;84.11692;162.7629;2019/08/07 11:36:42;C
 ;12;1;10;1.445801;1;95.63485;71.67803;0;0;95.63485;71.67803;0.4673433;0.1550087;-0.6846725;56.34706;79.40856;144.2783;2019/08/07 11:36:42;C
 ;12;2;10;1.479492;1;95.39432;71.58182;-0.2405319;-0.09621429;95.63485;71.67803;0.293797;0.06793064;-0.9212711;72.35722;85.98157;161.8758;2019/08/07 11:36:42;C
 ;12;3;10;1.748535;2;54.04197;75.88213;0;0;54.04197;75.88213;0.2519653;0.1209824;-0.8348029;73.36881;82.10112;161.4886;2019/08/07 11:36:43;C
 ;12;4;10;1.781738;2;53.975;75.71893;-0.06697083;-0.1631927;54.04197;75.88213;0.2424526;0.02512336;-0.8970016;74.88046;88.45122;164.7975;2019/08/07 11:36:43;C
 ;12;5;10;3.395508;3;54.74469;75.91136;0;0;54.74469;75.91136;0.5372252;0.2115972;-0.8179727;57.54991;77.79928;144.7823;2019/08/07 11:36:44;C
 ;12;6;10;3.429199;3;54.74469;75.91136;0;0;54.74469;75.91136;0.3470926;0.09707861;-0.8839521;68.67863;84.1632;157.8178;2019/08/07 11:36:44;C
 ;12;7;10;3.462891;3;55.72947;75.8991;0.9847717;-0.01226044;54.74469;75.91136;0.4316096;0.09573708;-0.884074;64.10957;84.44187;153.4317;2019/08/07 11:36:44;C
 ;12;8;10;3.798828;4;96.40454;74.85303;0;0;96.40454;74.85303;0.5666171;0.1247631;-0.8663901;57.08419;83.12796;146.1912;2019/08/07 11:36:45;C
 ;12;9;10;3.83252;4;96.27433;74.85303;-0.1302109;0;96.40454;74.85303;0.3433119;0.08622435;-0.9577366;70.35253;85.15582;159.7159;2019/08/07 11:36:45;C
 ;12;10;10;4.135254;5;55.22576;72.92879;0;0;55.22576;72.92879;0.5055161;0.1863519;-0.8189484;58.95673;79.04134;146.6599;2019/08/07 11:36:45;C
 ;12;11;10;4.168945;5;55.12954;72.83257;-0.09621429;-0.09621429;55.22576;72.92879;0.2934311;0.06475972;-0.9484679;72.84688;86.26799;162.4208;2019/08/07 11:36:45;C
 ;12;12;10;5.816406;6;96.98181;115.1659;0;0;96.98181;115.1659;0.2358669;0.09732253;-1.071524;77.63519;84.93097;166.6059;2019/08/07 11:36:47;C
 ;12;13;10;6.152832;7;99.67576;74.56439;0;0;99.67576;74.56439;0.4875883;0.05341763;-0.8605361;60.5109;86.90858;150.3168;2019/08/07 11:36:47;C
 ;12;14;10;6.186035;7;99.57954;74.56439;-0.09621429;0;99.67576;74.56439;0.299529;0.07585791;-0.8965136;71.58664;85.41164;160.9834;2019/08/07 11:36:47;C
 ;12;15;10;6.48877;8;56.57273;73.21742;0;0;56.57273;73.21742;0.5843011;0.101713;-0.930418;58.02433;84.71075;147.4848;2019/08/07 11:36:47;C
