ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX,AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;0;18;1.243164;0;135.7553;74.37196;0;0;135.7553;74.37196;0.003902658;0.02426965;-1.028106;89.78256;88.64772;178.6302;2019/08/07 15:36:32;S
 ;12;1;18;1.277344;0;135.7553;74.37196;0;0;135.7553;74.37196;0.002439161;0.01500084;-1.007252;89.86126;89.14677;179.1354;2019/08/07 15:36:32;S
 ;12;2;18;1.310547;0;135.5512;74.37196;-0.2041168;0;135.7553;74.37196;0.002073287;0.01243972;-0.9894457;89.87995;89.27969;179.2699;2019/08/07 15:36:32;S
 ;12;3;18;1.613281;1;96.01969;74.85303;0;0;96.01969;74.85303;-0.02585511;0.01426909;-1.109452;91.33488;89.26334;178.4753;2019/08/07 15:36:32;S
 ;12;4;18;1.646484;1;96.01969;74.65314;0;-0.1998901;96.01969;74.85303;0.002073287;0.01878154;-0.9932264;89.88042;88.91668;178.9101;2019/08/07 15:36:32;S
 ;12;5;18;1.848633;2;100.4455;35.98333;0;0;100.4455;35.98333;0.004878322;0.02487944;-1.181774;89.76353;88.79396;178.7711;2019/08/07 15:36:32;S
 ;12;6;18;1.881836;2;100.2405;36.09204;-0.2049255;0.1087074;100.4455;35.98333;-0.004512448;0.01146406;-1.070792;90.24143;89.3866;179.3412;2019/08/07 15:36:32;S
 ;12;7;18;1.916016;2;99.55351;36.77907;-0.6870193;0.687027;100.4455;35.98333;-0.0007317484;0.00939077;-0.9822502;90.04268;89.45224;179.4503;2019/08/07 15:36:32;S
 ;12;8;18;3.460938;3;104.0053;31.55758;0;0;104.0053;31.55758;0.001463497;0.01597651;-1.016276;89.9175;89.09934;179.0956;2019/08/07 15:36:34;S
 ;12;9;18;3.830078;4;102.0811;80.14469;0;0;102.0811;80.14469;0.0075614;0.02097679;-1.123966;89.61462;88.93082;178.8636;2019/08/07 15:36:34;S
 ;12;10;18;3.864258;4;101.9848;80.14469;-0.09621429;0;102.0811;80.14469;0.001829371;0.01573259;-1.013228;89.89656;89.11043;179.1045;2019/08/07 15:36:34;S
 ;12;11;18;4.099609;5;97.73219;110.336;0;0;97.73219;110.336;0.0008537064;0.03646546;-1.131893;89.9568;88.15478;178.1542;2019/08/07 15:36:34;S
 ;12;12;18;5.678711;6;58.11212;72.54394;0;0;58.11212;72.54394;0.01024448;0.01548867;-0.9687129;89.39417;89.08403;178.9017;2019/08/07 15:36:36;S
 ;12;13;18;5.712891;6;58.20834;72.64015;0.09621811;0.09621429;58.11212;72.54394;0.0009756645;0.01548867;-0.9756644;89.9427;89.0905;179.0887;2019/08/07 15:36:36;S
 ;12;14;18;5.948242;7;101.0227;73.40984;0;0;101.0227;73.40984;0.003414826;0.01768392;-0.9935923;89.80311;88.98036;178.9616;2019/08/07 15:36:36;S
 ;12;15;18;5.981445;7;100.6129;73.40984;-0.4098663;0;101.0227;73.40984;0.00317091;0.01463497;-0.9548097;89.80975;89.12186;179.1015;2019/08/07 15:36:36;S
 ;12;16;18;6.317383;8;55.51439;73.69849;0;0;55.51439;73.69849;0.0008537064;0.01475693;-0.9615173;89.94913;89.12071;179.1193;2019/08/07 15:36:37;S
 ;12;17;18;7.963867;9;134.7932;75.04546;0;0;134.7932;75.04546;-0.0009756645;0.01670825;-1.02396;90.05458;89.06516;179.0633;2019/08/07 15:36:38;S
 ;12;18;18;8.165039;10;101.7924;74.08334;0;0;101.7924;74.08334;0.01695217;0.01402518;-1.072865;89.09483;89.25112;178.8253;2019/08/07 15:36:38;S
 ;12;19;18;8.199219;10;101.7924;74.08334;0;0;101.7924;74.08334;0.007439442;0.01207385;-0.9600539;89.55605;89.27949;179.1537;2019/08/07 15:36:39;S
 ;12;20;18;8.43457;11;133.5424;77.25833;0;0;133.5424;77.25833;0.007317483;0.01768392;-1.072743;89.60922;89.0556;178.978;2019/08/07 15:36:39;S
