ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX,AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;0;7;1.243652;0;137.1023;73.36174;0;0;137.1023;73.36174;0.01756196;0.03122126;-1.000178;88.99454;88.21233;177.9489;2019/08/06 15:00:52;C
 ;12;1;7;1.277222;0;137.1023;73.16932;0;-0.192421;137.1023;73.36174;0.01573259;0.02780644;-0.9850553;89.08535;88.38327;178.1424;2019/08/06 15:00:52;C
 ;12;2;7;1.310913;0;137.1023;73.21742;0;0.04810333;137.1023;73.36174;0.01585455;0.02451357;-0.994446;89.08688;88.5881;178.3184;2019/08/06 15:00:52;C
 ;12;3;7;1.815063;1;97.55909;74.46819;0;0;97.55909;74.46819;0.01829371;0.03268476;-0.9940801;88.94629;88.11714;177.8421;2019/08/06 15:00:52;C
 ;12;4;7;1.848633;1;97.27045;74.23181;-0.2886353;-0.2363739;97.55909;74.46819;0.01634238;0.02902602;-0.9961535;89.06051;88.33121;178.0848;2019/08/06 15:00:52;C
 ;12;5;7;1.882324;1;97.27045;74.27576;0;0.04394531;97.55909;74.46819;0.01609846;0.02353791;-0.9927386;89.07121;88.64194;178.3547;2019/08/06 15:00:52;C
 ;12;6;7;2.554077;2;98.52122;32.90454;0;0;98.52122;32.90454;0.01780588;0.0287821;-1.003227;88.9836;88.35691;178.0677;2019/08/06 15:00:53;C
 ;12;7;7;2.587646;2;98.17384;32.90454;-0.3473816;0;98.52122;32.90454;0.01500084;0.02536728;-0.9913971;89.1334;88.53443;178.2974;2019/08/06 15:00:53;C
 ;12;8;7;2.621338;2;98.04015;32.90454;-0.1336823;0;98.52122;32.90454;0.01634238;0.02780644;-0.9942021;89.05864;88.39815;178.1418;2019/08/06 15:00:53;C
 ;12;9;7;4.537109;3;138.7379;74.85303;0;0;138.7379;74.85303;0.01622042;0.03146518;-0.9913971;89.06312;88.18238;177.9549;2019/08/06 15:00:55;C
 ;12;10;7;4.570801;3;138.7379;74.50418;0;-0.3488464;138.7379;74.85303;0.01670825;0.02744056;-0.9927386;89.03614;88.41689;178.1464;2019/08/06 15:00:55;C
 ;12;11;7;4.60437;3;138.7379;74.2153;0;-0.2888794;138.7379;74.85303;0.01670825;0.02536728;-0.9933484;89.03667;88.53735;178.2486;2019/08/06 15:00:55;C
 ;12;12;7;4.637939;3;138.7379;74.13144;0;-0.0838623;138.7379;74.85303;0.01756196;0.02841623;-0.9921288;88.98631;88.35965;178.0717;2019/08/06 15:00:55;C
 ;12;13;7;5.142822;4;98.61742;76.10378;0;0;98.61742;76.10378;0.01695217;0.02805035;-0.9949338;89.02425;88.38531;178.1132;2019/08/06 15:00:55;C
 ;12;14;7;5.176514;4;98.47311;76.10378;-0.1443176;0;98.61742;76.10378;0.01573259;0.02719665;-0.9937143;89.0933;88.43248;178.189;2019/08/06 15:00:56;C
 ;12;15;7;5.210083;4;98.28069;75.86326;-0.192421;-0.2405243;98.61742;76.10378;0.01609846;0.02719665;-0.9939582;89.07244;88.43287;178.1789;2019/08/06 15:00:56;C
 ;12;16;7;5.243652;4;98.32878;75.81515;0.0480957;-0.04811096;98.61742;76.10378;0.01804979;0.03012364;-0.9938362;88.96;88.26415;177.9763;2019/08/06 15:00:56;C
 ;12;17;7;5.848267;5;99.96439;33.00076;0;0;99.96439;33.00076;0.01646434;0.02780644;-0.9924947;89.04999;88.39539;178.1351;2019/08/06 15:00:56;C
 ;12;18;7;5.881836;5;99.86818;32.90454;-0.09621429;-0.09621048;99.96439;33.00076;0.01500084;0.02634294;-0.9934704;89.13523;88.48126;178.2522;2019/08/06 15:00:56;C
 ;12;19;7;5.915527;5;99.86818;32.90454;0;0;99.96439;33.00076;0.01695217;0.02695273;-0.9921288;89.02145;88.44408;178.1617;2019/08/06 15:00:56;C
 ;12;20;7;5.949097;5;99.57954;32.90454;-0.2886353;0;99.96439;33.00076;0.01646434;0.02902602;-0.9935923;89.05106;88.32691;178.0764;2019/08/06 15:00:56;C
 ;12;21;7;7.663452;6;99.96439;115.2621;0;0;99.96439;115.2621;0.02061091;0.02841623;-0.9932264;88.81168;88.36156;177.9759;2019/08/06 15:00:58;C
 ;12;22;7;7.697021;6;99.72502;115.2621;-0.2393723;0;99.96439;115.2621;0.01500084;0.02817231;-0.9918849;89.1339;88.37326;178.157;2019/08/06 15:00:58;C
 ;12;23;7;7.730713;6;99.43523;115.1659;-0.2897949;-0.09621429;99.96439;115.2621;0.01524476;0.02585511;-0.9929825;89.12073;88.50865;178.2687;2019/08/06 15:00:58;C
 ;12;24;7;7.764282;6;99.14658;115.0216;-0.2886429;-0.1443253;99.96439;115.2621;0.01865958;0.02744056;-0.9924947;88.92333;88.41656;178.0851;2019/08/06 15:00:58;C
