ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX,AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;29;9;12.02246;15;55.66512;74.37196;0.05451584;0;55.61061;74.37196;0.006829652;0.01378126;-1.0003;89.60885;89.21069;179.119;2019/08/07 11:08:43;C
 ;12;30;9;12.15674;16;94.4803;78.12424;0;0;94.4803;78.12424;0.002317203;0.01817175;-1.140308;89.88358;89.08702;179.0797;2019/08/07 11:08:43;C
 ;12;31;9;12.19043;16;94.70811;78.12424;0.2278061;0;94.4803;78.12424;0.01073231;0.0226842;-0.9788354;89.37198;88.6725;178.5314;2019/08/07 11:08:43;C
 ;12;32;9;12.42529;17;151.2455;92.26743;0;0;151.2455;92.26743;0.001829371;0.01573259;-0.979933;89.89305;89.0802;179.0738;2019/08/07 11:08:44;C
 ;12;33;9;13.76855;18;140.1811;75.52651;0;0;140.1811;75.52651;0.006585735;0.020367;-1.062255;89.64484;88.9016;178.8456;2019/08/07 11:08:45;C
 ;12;34;9;13.80225;18;140.1811;75.43031;0;-0.09620667;140.1811;75.52651;0.009634687;0.01402518;-0.9472483;89.4173;89.15176;178.9709;2019/08/07 11:08:45;C
 ;12;35;9;15.48145;19;100.9265;115.1659;0;0;100.9265;115.1659;0.00878098;0.02012308;-1.05201;89.52186;88.90421;178.8043;2019/08/07 11:08:47;C
 ;12;36;9;15.75;20;99.48334;77.93182;0;0;99.48334;77.93182;0.009878603;0.020367;-1.02335;89.44703;88.85988;178.7328;2019/08/07 11:08:47;C
 ;12;37;9;15.78369;20;99.33901;77.7875;-0.1443253;-0.1443176;99.48334;77.93182;0.006951609;0.01317147;-0.9784696;89.59298;89.22879;179.128;2019/08/07 11:08:47;C
 ;12;38;9;16.05225;21;97.6553;33.77045;0;0;97.6553;33.77045;0.02353791;0.01536672;-0.6835749;88.02837;88.71297;177.6452;2019/08/07 11:08:47;C
 ;12;39;9;16.08594;21;97.48193;33.67424;-0.1733704;-0.09621048;97.6553;33.77045;0.005853987;0.01597651;-0.9681031;89.65359;89.05455;178.9932;2019/08/07 11:08:47;C
 ;12;40;9;17.73145;22;104.1015;35.98333;0;0;104.1015;35.98333;0.01024448;0.02244028;-1.061279;89.44706;88.78874;178.6684;2019/08/07 11:08:49;C
 ;12;41;9;17.9668;23;99.86818;74.37196;0;0;99.86818;74.37196;0.00317091;0.01853763;-0.9922508;89.81693;88.9297;178.9141;2019/08/07 11:08:49;C
