LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY
0;6;32.28809;0;140.0848;51.18485;0;0;140.0848;51.18485
1;6;32.30859;0;140.0848;51.18485;0;0;140.0848;51.18485
2;6;32.3252;0;140.0848;51.18485;0;0;140.0848;51.18485
3;6;32.33936;0;140.0848;51.18485;0;0;140.0848;51.18485
4;6;32.35742;0;140.0848;50.96266;0;-0.2221909;140.0848;51.18485
5;6;33.28711;1;100.0606;55.99546;0;0;100.0606;55.99546
6;6;33.30322;1;100.0606;55.99546;0;0;100.0606;55.99546
7;6;33.3208;1;100.0606;55.99546;0;0;100.0606;55.99546
8;6;33.33691;1;100.0606;55.99546;0;0;100.0606;55.99546
9;6;33.35938;1;100.0606;55.99546;0;0;100.0606;55.99546
10;6;33.37061;1;100.0606;55.99546;0;0;100.0606;55.99546
11;6;33.38867;1;100.0606;55.99546;0;0;100.0606;55.99546
12;6;33.40479;1;100.0606;55.99546;0;0;100.0606;55.99546
13;6;34.26221;2;141.4318;49.64545;0;0;141.4318;49.64545
14;6;34.28125;2;141.4318;49.64545;0;0;141.4318;49.64545
15;6;34.29785;2;141.4318;49.64545;0;0;141.4318;49.64545
16;6;34.31445;2;141.4318;49.64545;0;0;141.4318;49.64545
17;6;34.33154;2;141.4318;49.64545;0;0;141.4318;49.64545
18;6;34.35352;2;141.4318;49.64545;0;0;141.4318;49.64545
19;6;36.50879;3;98.90606;96.40454;0;0;98.90606;96.40454
20;6;36.52686;3;98.90606;96.40454;0;0;98.90606;96.40454
21;6;36.53467;3;98.90606;96.40454;0;0;98.90606;96.40454
22;6;36.55225;3;98.90606;96.40454;0;0;98.90606;96.40454
23;6;36.57178;3;98.90606;96.40454;0;0;98.90606;96.40454
24;6;36.5874;3;99.10424;96.20637;0.1981812;-0.1981735;98.90606;96.40454
25;6;36.60986;3;99.33512;96.21212;0.2308807;0.005752563;98.90606;96.40454
26;6;37.28076;4;99.67576;55.99546;0;0;99.67576;55.99546
27;6;37.2915;4;99.67576;55.99546;0;0;99.67576;55.99546
28;6;37.30762;4;99.67576;55.99546;0;0;99.67576;55.99546
29;6;37.3335;4;99.67576;55.99546;0;0;99.67576;55.99546
30;6;37.34717;4;99.67576;55.99546;0;0;99.67576;55.99546
31;6;37.35889;4;99.67576;55.99546;0;0;99.67576;55.99546
32;6;38.17578;5;98.90606;15.39394;0;0;98.90606;15.39394
33;6;38.19971;5;98.90606;15.39394;0;0;98.90606;15.39394
34;6;38.20605;5;98.90606;15.39394;0;0;98.90606;15.39394
35;6;38.22168;5;98.90606;15.39394;0;0;98.90606;15.39394
36;6;38.23926;5;98.90606;15.39394;0;0;98.90606;15.39394
