LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY
0;9;13.46313;0;142.0091;50.99242;0;0;142.0091;50.99242
1;9;13.48047;0;142.0091;50.99242;0;0;142.0091;50.99242
2;9;13.49268;0;142.0091;50.99242;0;0;142.0091;50.99242
3;9;13.51147;0;142.0091;50.99242;0;0;142.0091;50.99242
4;9;13.52905;0;142.0091;50.99242;0;0;142.0091;50.99242
5;9;14.08154;1;98.13636;52.53181;0;0;98.13636;52.53181
6;9;14.09888;1;98.13636;52.53181;0;0;98.13636;52.53181
7;9;14.11475;1;98.13636;52.53181;0;0;98.13636;52.53181
8;9;14.13208;1;98.52245;52.53181;0.3860855;0;98.13636;52.53181
9;9;14.74463;2;140.4697;55.41818;0;0;140.4697;55.41818
10;9;14.7605;2;140.4697;55.41818;0;0;140.4697;55.41818
11;9;14.77588;2;140.4697;55.41818;0;0;140.4697;55.41818
12;9;16.69189;3;101.6;96.59697;0;0;101.6;96.59697
13;9;16.70972;3;101.6;96.59697;0;0;101.6;96.59697
14;9;16.72583;3;102.1012;96.71336;0.5012283;0.1163864;101.6;96.59697
15;9;16.74414;3;102.3697;96.98181;0.2684708;0.2684555;101.6;96.59697
16;9;17.31177;4;94.4803;52.33939;0;0;94.4803;52.33939
17;9;17.33447;4;94.72942;52.33939;0.2491226;0;94.4803;52.33939
18;9;17.35205;4;95.21439;52.33939;0.4849625;0;94.4803;52.33939
19;9;17.79028;5;143.3561;51.76212;0;0;143.3561;51.76212
20;9;17.80859;5;143.3561;51.76212;0;0;143.3561;51.76212
21;9;17.82642;5;143.3561;51.76212;0;0;143.3561;51.76212
22;9;17.84717;5;143.3561;51.76212;0;0;143.3561;51.76212
23;9;17.86182;5;143.5633;51.76212;0.2072144;0;143.3561;51.76212
24;9;19.62573;6;97.94393;13.66212;0;0;97.94393;13.66212
25;9;19.6377;6;97.94393;13.66212;0;0;97.94393;13.66212
26;9;19.65381;6;97.94393;13.66212;0;0;97.94393;13.66212
27;9;19.68433;6;97.94393;13.66212;0;0;97.94393;13.66212
28;9;19.69092;6;97.94393;13.66212;0;0;97.94393;13.66212
29;9;19.70581;6;97.94393;13.66212;0;0;97.94393;13.66212
30;9;20.15967;7;100.0606;56.3803;0;0;100.0606;56.3803
31;9;20.18433;7;100.3492;56.3803;0.2886276;0;100.0606;56.3803
32;9;20.19604;7;101.1158;56.0927;0.7666016;-0.2876015;100.0606;56.3803
33;9;20.69312;8;99.29091;13.27727;0;0;99.29091;13.27727
34;9;20.71606;8;99.29091;13.27727;0;0;99.29091;13.27727
35;9;20.73535;8;100.2626;13.52019;0.9716721;0.2429199;99.29091;13.27727
36;9;22.40283;9;135.2742;49.06818;0;0;135.2742;49.06818
37;9;22.43335;9;135.2742;49.06818;0;0;135.2742;49.06818
38;9;22.44287;9;135.2742;49.06818;0;0;135.2742;49.06818
39;9;22.45483;9;135.2742;49.06818;0;0;135.2742;49.06818
40;9;22.47412;9;135.4914;49.06818;0.2171478;0;135.2742;49.06818
41;9;22.96021;10;102.3697;56.3803;0;0;102.3697;56.3803
42;9;22.98193;10;102.3697;56.3803;0;0;102.3697;56.3803
43;9;22.99097;10;102.3697;56.3803;0;0;102.3697;56.3803
44;9;23.0083;10;102.3697;56.3803;0;0;102.3697;56.3803
45;9;23.46558;11;60.22878;53.49393;0;0;60.22878;53.49393
46;9;23.48389;11;60.22878;53.49393;0;0;60.22878;53.49393
47;9;23.49634;11;60.22878;53.49393;0;0;60.22878;53.49393
48;9;25.25684;12;96.40454;96.40454;0;0;96.40454;96.40454
49;9;25.27271;12;96.40454;96.40454;0;0;96.40454;96.40454
50;9;25.29004;12;96.40454;96.40454;0;0;96.40454;96.40454
51;9;25.30762;12;96.64777;96.40454;0.2432251;0;96.40454;96.40454
52;9;25.79492;13;97.75151;53.30151;0;0;97.75151;53.30151
53;9;25.81812;13;97.75151;53.30151;0;0;97.75151;53.30151
54;9;25.82983;13;99.02551;53.30151;1.274002;0;97.75151;53.30151
55;9;25.84424;13;99.57954;53.30151;0.5540314;0;97.75151;53.30151
56;9;26.25928;14;140.8545;51.56969;0;0;140.8545;51.56969
57;9;26.28613;14;140.8545;51.56969;0;0;140.8545;51.56969
58;9;26.29346;14;140.8545;51.56969;0;0;140.8545;51.56969
59;9;26.30933;14;141.0973;51.32693;0.2427673;-0.2427635;140.8545;51.56969
60;9;26.3291;14;141.3356;50.51136;0.2382965;-0.815567;140.8545;51.56969
61;9;28.03809;15;55.61061;49.06818;0;0;55.61061;49.06818
62;9;28.05835;15;55.61061;49.06818;0;0;55.61061;49.06818
63;9;28.07422;15;55.28048;49.3983;-0.3301239;0.3301163;55.61061;49.06818
64;9;28.09253;15;55.12954;49.54924;-0.1509399;0.1509476;55.61061;49.06818
65;9;28.12012;15;55.41954;49.45303;0.2899971;-0.09621429;55.61061;49.06818
66;9;28.1272;15;55.41954;49.45303;0;0;55.61061;49.06818
67;9;28.63989;16;100.8303;53.10909;0;0;100.8303;53.10909
68;9;28.65869;16;101.2597;52.89441;0.4293518;-0.2146759;100.8303;53.10909
69;9;28.68188;16;101.6819;51.74976;0.4222717;-1.144653;100.8303;53.10909
70;9;28.69238;16;101.6819;51.74976;0;0;100.8303;53.10909
71;9;29.14502;17;58.49697;51.76212;0;0;58.49697;51.76212
72;9;29.15894;17;58.49697;51.76212;0;0;58.49697;51.76212
73;9;29.18555;17;58.70093;51.76212;0.2039604;0;58.49697;51.76212
74;9;29.19751;17;58.68939;51.52628;-0.01153564;-0.2358437;58.49697;51.76212
75;9;29.21045;17;58.68939;51.52628;0;0;58.49697;51.76212
76;9;31.00073;18;135.4667;50.99242;0;0;135.4667;50.99242
77;9;31.01929;18;135.4667;50.99242;0;0;135.4667;50.99242
78;9;31.03784;18;135.7934;50.99242;0.3267365;0;135.4667;50.99242
79;9;31.62036;19;102.3697;52.53181;0;0;102.3697;52.53181
80;9;31.64136;19;102.3697;52.53181;0;0;102.3697;52.53181
81;9;31.65747;19;102.8095;51.87209;0.4398117;-0.6597214;102.3697;52.53181
82;9;31.67456;19;102.7545;51.41834;-0.05496979;-0.4537506;102.3697;52.53181
83;9;32.18848;20;99.29091;12.7;0;0;99.29091;12.7
84;9;32.21313;20;99.29091;12.7;0;0;99.29091;12.7
85;9;32.22266;20;99.29091;12.7;0;0;99.29091;12.7
86;9;32.24121;20;99.53397;12.7;0.2430649;0;99.29091;12.7
87;9;34.25757;21;56.57273;49.45303;0;0;56.57273;49.45303
88;9;34.27954;21;56.82863;49.45303;0.2559013;0;56.57273;49.45303
89;9;34.29419;21;57.03911;49.45303;0.2104836;0;56.57273;49.45303
90;9;34.88623;22;100.6379;51.37727;0;0;100.6379;51.37727
91;9;34.90723;22;100.6379;51.37727;0;0;100.6379;51.37727
92;9;34.92236;22;100.8307;50.79925;0.1928024;-0.578022;100.6379;51.37727
93;9;34.93896;22;100.8307;50.79925;0;0;100.6379;51.37727
94;9;35.48438;23;100.8303;92.74849;0;0;100.8303;92.74849
95;9;35.50366;23;100.8303;92.74849;0;0;100.8303;92.74849
96;9;37.42114;24;101.0227;11.73788;0;0;101.0227;11.73788
97;9;37.45288;24;101.3061;11.73788;0.2834015;0;101.0227;11.73788
98;9;37.46265;24;101.7924;11.44924;0.4862976;-0.2886372;101.0227;11.73788
99;9;37.47241;24;101.7924;11.44924;0;0;101.0227;11.73788
100;9;37.97388;25;98.52122;53.68636;0;0;98.52122;53.68636
101;9;37.99731;25;98.52122;53.68636;0;0;98.52122;53.68636
102;9;38.0061;25;98.52122;53.68636;0;0;98.52122;53.68636
103;9;38.5188;26;139.5076;49.26061;0;0;139.5076;49.26061
104;9;38.53979;26;139.5076;49.26061;0;0;139.5076;49.26061
105;9;38.56372;26;139.5076;49.26061;0;0;139.5076;49.26061
106;9;40.30811;27;139.3152;54.07121;0;0;139.3152;54.07121
107;9;40.32983;27;139.3152;54.07121;0;0;139.3152;54.07121
108;9;40.35718;27;139.3152;54.07121;0;0;139.3152;54.07121
109;9;40.89355;28;98.52122;53.68636;0;0;98.52122;53.68636
110;9;40.91455;28;98.7794;53.68636;0.2581863;0;98.52122;53.68636
111;9;41.47974;29;101.4076;11.16061;0;0;101.4076;11.16061
112;9;41.49756;29;101.4076;11.16061;0;0;101.4076;11.16061
113;9;41.51392;29;101.4076;11.16061;0;0;101.4076;11.16061
114;9;41.53394;29;101.4076;10.91824;0;-0.2423677;101.4076;11.16061
115;9;43.27124;30;97.17424;85.82121;0;0;97.17424;85.82121
116;9;43.29175;30;97.17424;85.82121;0;0;97.17424;85.82121
117;9;43.30762;30;97.17424;85.82121;0;0;97.17424;85.82121
118;9;43.33813;30;96.93392;85.38847;-0.2403183;-0.4327393;97.17424;85.82121
119;9;43.34619;30;96.93392;85.38847;0;0;97.17424;85.82121
120;9;43.87231;31;101.7924;52.72424;0;0;101.7924;52.72424
121;9;43.89258;31;101.7924;52.72424;0;0;101.7924;52.72424
122;9;43.91528;31;101.7924;52.72424;0;0;101.7924;52.72424
123;9;44.37427;32;56.3803;50.41515;0;0;56.3803;50.41515
124;9;44.39648;32;56.3803;50.41515;0;0;56.3803;50.41515
125;9;44.41089;32;56.83438;50.18811;0.4540787;-0.2270355;56.3803;50.41515
126;9;44.43408;32;56.76515;49.94077;-0.06922913;-0.247345;56.3803;50.41515
127;9;44.44409;32;57.04557;48.90863;0.2804146;-1.032135;56.3803;50.41515
128;9;46.16724;33;101.4076;95.82727;0;0;101.4076;95.82727
129;9;46.18848;33;101.9848;94.96136;0.5772705;-0.8659134;101.4076;95.82727
130;9;46.72754;34;103.5242;51.18485;0;0;103.5242;51.18485
131;9;46.74512;34;103.5242;51.18485;0;0;103.5242;51.18485
132;9;46.76147;34;103.5242;51.18485;0;0;103.5242;51.18485
133;9;46.78516;34;103.5242;51.18485;0;0;103.5242;51.18485
134;9;46.7998;34;103.5242;50.78958;0;-0.3952713;103.5242;51.18485
135;9;47.28247;35;101.4076;7.889394;0;0;101.4076;7.889394
136;9;47.29834;35;101.4076;7.889394;0;0;101.4076;7.889394
137;9;47.32397;35;101.6047;7.495091;0.1971588;-0.3943028;101.4076;7.889394
138;9;47.33276;35;101.8248;7.055031;0.2200165;-0.4400597;101.4076;7.889394
139;9;47.34888;35;101.8248;7.055031;0;0;101.4076;7.889394
140;9;48.92139;36;141.047;53.30151;0;0;141.047;53.30151
141;9;48.94116;36;141.047;53.30151;0;0;141.047;53.30151
142;9;48.95605;36;141.047;53.30151;0;0;141.047;53.30151
143;9;48.97388;36;141.2728;53.07564;0.2258759;-0.225872;141.047;53.30151
144;9;49.43457;37;99.48334;49.83788;0;0;99.48334;49.83788
145;9;49.45337;37;99.48334;49.83788;0;0;99.48334;49.83788
146;9;49.46997;37;99.48334;49.83788;0;0;99.48334;49.83788
147;9;49.48511;37;99.48334;49.83788;0;0;99.48334;49.83788
148;9;49.50488;37;99.48334;49.83788;0;0;99.48334;49.83788
149;9;49.52588;37;99.48334;49.62537;0;-0.212513;99.48334;49.83788
150;9;49.96948;38;59.65151;51.76212;0;0;59.65151;51.76212
151;9;49.98999;38;59.91936;51.49427;0.267849;-0.267849;59.65151;51.76212
152;9;50.00439;38;59.91936;51.49427;0;0;59.65151;51.76212
153;9;51.72852;39;102.5621;13.27727;0;0;102.5621;13.27727
154;9;51.74536;39;102.5621;13.27727;0;0;102.5621;13.27727
155;9;51.76001;39;102.5621;13.27727;0;0;102.5621;13.27727
156;9;51.77734;39;102.5621;13.27727;0;0;102.5621;13.27727
157;9;52.2395;40;98.90606;53.49393;0;0;98.90606;53.49393
158;9;52.26001;40;98.90606;53.49393;0;0;98.90606;53.49393
159;9;52.27563;40;98.90606;53.49393;0;0;98.90606;53.49393
160;9;52.77637;41;57.72727;52.72424;0;0;57.72727;52.72424
161;9;52.7981;41;57.72727;52.72424;0;0;57.72727;52.72424
162;9;52.81079;41;58.01591;52.72424;0.2886391;0;57.72727;52.72424
163;9;54.39819;42;138.5455;50.8;0;0;138.5455;50.8
164;9;54.41943;42;138.5455;50.8;0;0;138.5455;50.8
165;9;54.43237;42;138.5455;50.8;0;0;138.5455;50.8
166;9;54.44824;42;138.5455;51.04267;0;0.2426682;138.5455;50.8
167;9;54.46606;42;138.5455;51.04267;0;0;138.5455;50.8
168;9;54.8606;43;97.36666;50.0303;0;0;97.36666;50.0303
169;9;54.88037;43;97.36666;50.0303;0;0;97.36666;50.0303
170;9;54.89526;43;97.36666;50.0303;0;0;97.36666;50.0303
171;9;54.9126;43;97.36666;50.0303;0;0;97.36666;50.0303
172;9;55.25806;44;97.55909;92.74849;0;0;97.55909;92.74849
173;9;55.27515;44;97.55909;92.74849;0;0;97.55909;92.74849
174;9;55.29004;44;97.55909;92.74849;0;0;97.55909;92.74849
175;9;57.1748;45;99.67576;10.00606;0;0;99.67576;10.00606
176;9;57.19458;45;99.67576;10.00606;0;0;99.67576;10.00606
177;9;57.20972;45;99.67576;10.00606;0;0;99.67576;10.00606
178;9;57.22705;45;99.67576;10.00606;0;0;99.67576;10.00606
179;9;57.2561;45;99.89284;10.00606;0.2170792;0;99.67576;10.00606
180;9;57.63843;46;100.4455;50.41515;0;0;100.4455;50.41515
181;9;57.65869;46;100.4455;50.41515;0;0;100.4455;50.41515
182;9;57.67383;46;100.4455;50.41515;0;0;100.4455;50.41515
183;9;57.70093;46;100.4455;50.41515;0;0;100.4455;50.41515
184;9;57.7085;46;100.6625;49.98101;0.2170639;-0.4341354;100.4455;50.41515
185;9;58.06958;47;99.67576;94.4803;0;0;99.67576;94.4803
186;9;58.08936;47;99.67576;94.4803;0;0;99.67576;94.4803
187;9;58.10864;47;99.96439;93.90303;0.2886353;-0.5772705;99.67576;94.4803
188;9;59.90234;48;96.78939;89.28484;0;0;96.78939;89.28484
