UserID;Age;Gender;DominantHand;HitType;TargetID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;LiftX;LiftY
0;25;M;R;Center;-1;0.5560238;0.6234193;0.5560238;189.4096;138.6581;181.7363;142.4274;193.0443;142.4274
0;25;M;R;Target;0;0.8930058;0.943553;0.336982;279.275;138.6581;277.5853;141.3504;278.1238;140.812
0;25;M;R;Center;-1;1.314234;1.398479;0.4212277;189.4096;138.6581;188.198;132.7348;199.7753;137.5811
0;25;M;R;Target;1;1.937652;2.005049;0.6234183;267.2353;183.5907;271.3928;181.7363;269.5081;180.1208
0;25;M;R;Center;-1;2.291486;2.37573;0.3538337;189.4096;138.6581;187.1211;134.3502;204.8908;158.0432
0;25;M;R;Target;2;2.611617;2.679014;0.3201318;234.3423;216.4838;231.5455;215.6604;231.5455;212.4295
0;25;M;R;Center;-1;2.999149;3.083395;0.3875318;189.4096;138.6581;189.8134;140.0042;190.3519;157.2355
0;25;M;R;Target;3;3.336133;3.420379;0.3369837;189.4096;228.5235;194.6597;222.3914;194.1213;218.8912
0;25;M;R;Center;-1;3.689964;3.757362;0.3538308;189.4096;138.6581;187.6595;128.1577;187.1211;138.3888
0;25;M;R;Target;4;4.043796;4.111193;0.3538322;144.4769;216.4838;147.8122;213.2372;147.8122;213.2372
0;25;M;R;Center;-1;4.431326;4.498723;0.3875303;189.4096;138.6581;196.2752;136.7734;178.5054;146.1967
0;25;M;R;Target;5;4.76831;4.852555;0.3369832;111.5839;183.5908;101.7723;180.6593;103.657;180.6593
0;25;M;R;Center;-1;5.207266;5.291512;0.4389563;189.4096;138.6581;184.4287;139.4658;177.1592;138.6581
0;25;M;R;Target;6;5.57887;5.629418;0.3716044;99.54418;138.658;95.31058;132.7348;102.0415;132.7348
0;25;M;R;Center;-1;5.882156;5.966403;0.3032861;189.4096;138.6581;198.1599;138.1196;193.3136;133.5425
0;25;M;R;Target;7;6.252837;6.337083;0.3706808;111.5839;93.72535;112.8111;100.9646;126.2731;106.6186
0;25;M;R;Center;-1;6.58982;6.674065;0.3369827;189.4096;138.6581;185.5056;135.1579;185.2364;129.5039
0;25;M;R;Target;8;6.960504;7.027898;0.3706837;144.4769;60.83232;145.6583;64.34811;147.5429;65.15582
0;25;M;R;Center;-1;7.297484;7.381732;0.3369808;189.4096;138.6581;184.1594;128.6962;184.4287;128.9654
0;25;M;R;Target;9;7.651316;7.718712;0.3538313;189.4096;48.79265;186.8518;54.38626;187.6595;57.88637
0;25;M;R;Center;-1;7.9883;8.072546;0.3369846;189.4096;138.6581;187.9288;137.8503;189.8134;130.5809
0;25;M;R;Target;10;8.342133;8.40953;0.3538322;234.3423;60.83232;241.7766;56.27094;240.4304;59.23256
0;25;M;R;Center;-1;8.763361;8.864455;0.4212284;189.4096;138.6581;192.2366;133.5425;207.0448;127.0808
0;25;M;R;Target;11;9.100345;9.201438;0.3369837;267.2353;93.72533;263.5849;98.54144;263.8542;98.54144
