UserID;Age;Gender;DominantHand;HitType;TargetID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;LiftX;LiftY
0;25;M;R;Center;-1;0.471776;0.5560223;0.471776;189.4096;138.6581;186.3133;142.4274;194.929;140.812
0;25;M;R;Target;0;0.8256088;0.8930048;0.3538328;279.275;138.6581;272.739;137.3119;272.739;137.3119
0;25;M;R;Center;-1;1.196289;1.263686;0.3706803;189.4096;138.6581;179.3131;135.1579;188.4673;140.0042
0;25;M;R;Target;1;1.533272;1.600669;0.3369832;267.2353;183.5907;270.0466;188.7365;269.7774;188.198
0;25;M;R;Center;-1;1.954501;2.038747;0.4212289;189.4096;138.6581;194.929;139.4658;208.6602;158.0432
0;25;M;R;Target;2;2.274637;2.358881;0.3201354;234.3423;216.4838;234.7763;214.045;232.8917;209.7371
0;25;M;R;Center;-1;2.645317;2.712715;0.3706799;189.4096;138.6581;195.1982;131.9271;194.6597;150.7738
0;25;M;R;Target;3;2.99915;3.066546;0.3538332;189.4096;228.5235;194.3905;224.276;192.2366;221.5836
0;25;M;R;Center;-1;3.454076;3.521475;0.4549265;189.4096;138.6581;187.6595;137.8503;184.1594;145.1198
0;25;M;R;Target;4;3.841607;3.942702;0.3875303;144.4769;216.4838;152.9277;208.3909;152.9277;204.0831
0;25;M;R;Center;-1;4.279685;4.397644;0.4380779;189.4096;138.6581;186.8518;142.6966;177.1592;149.4276
0;25;M;R;Target;5;4.684065;4.768312;0.4043808;111.5839;183.5908;115.2343;180.3901;121.1575;178.2362
0;25;M;R;Center;-1;5.071596;5.155842;0.3875308;189.4096;138.6581;181.1978;143.5043;181.1978;143.5043
0;25;M;R;Target;6;5.442277;5.526523;0.3706808;99.54418;138.658;98.27221;135.6964;119.5421;135.1579
0;25;M;R;Center;-1;5.77926;5.846657;0.3369827;189.4096;138.6581;195.7367;134.6195;189.275;131.6578
0;25;M;R;Target;7;6.133091;6.200488;0.3538318;111.5839;93.72535;111.7342;90.19505;124.6576;92.34895
0;25;M;R;Center;-1;6.554321;6.638566;0.4212294;189.4096;138.6581;183.8902;132.4656;182.544;129.7732
0;25;M;R;Target;8;7.042946;7.127192;0.4886255;144.4769;60.83232;145.9275;65.42506;162.3511;78.34853
0;25;M;R;Center;-1;7.413627;7.481024;0.3706808;189.4096;138.6581;198.1599;136.5041;198.1599;136.5041
0;25;M;R;Target;9;7.801158;7.868554;0.3875313;189.4096;48.79265;189.5442;48.19377;191.1596;53.57855
0;25;M;R;Center;-1;8.17184;8.256084;0.3706818;189.4096;138.6581;192.5058;134.3502;194.6597;130.8501
0;25;M;R;Target;10;8.626766;8.711012;0.4549265;234.3423;60.83232;232.6224;67.04049;228.0454;73.23299
0;25;M;R;Center;-1;9.047995;9.098542;0.4212284;189.4096;138.6581;193.5828;132.4656;194.3905;132.7348
0;25;M;R;Target;11;9.435525;9.502922;0.3875303;267.2353;93.72533;266.0081;97.73373;254.1615;101.2338
