ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;12;50;F;R;R;yes;R;0;7.2;-1;21.6;Outset;N;N;No;NN; ; ; ;0;True;1; ;1.277344;1.344727;1.277344;98.52122;113.8909;99.77197;113.2417;1.250748;-0.6492462;99.77197;113.2417;1.250748;-0.6492462;0.06738281; ; ;70.7076;87.07573;160.4697;2019/08/07 12:46:53;C
 ;12;12;50;F;R;R;yes;R;0;7.2;40.00001;21.6;Center;N;N;No;NN; ; ; ;1;True;1; ;1.849609;1.950195;0.5722656;98.52122;73.89091;101.5038;74.46819;2.982567;0.5772781;101.4076;74.56439;2.88636;0.6734848;0.1005859; ; ;69.36758;87.3121;159.1772;2019/08/07 12:46:54;C
 ;12;12;50;F;R;R;yes;R;0;7.2;40.00001;21.6;Goal;N;N;No;NN; ; ; ;2;True;1; ;2.454102;2.488281;0.6044922;98.52122;113.8909;100.4455;116.4167;1.92424;2.525757;100.5417;116.5129;2.020447;2.621956;0.03417969; ; ;66.79616;85.93654;156.4015;2019/08/07 12:46:54;C
 ;12;12;50;F;R;R;yes;R;1;7.2;-1;21.6;Outset;S;E;No;SE; ; ; ;3;True;1; ;4.270508;4.337891;1.816406;98.52122;33.89091;100.0606;35.02121;1.539391;1.130302;100.5417;36.27197;2.020447;2.381062;0.06738281; ; ;68.19183;86.20484;157.8303;2019/08/07 12:46:56;C
 ;12;12;50;F;R;R;yes;R;1;7.2;40;21.6;Center;S;E;No;SE; ; ; ;4;True;1; ;4.741211;4.808594;0.4707031;98.52122;73.89091;100.5417;76.9697;2.020447;3.078789;100.6379;77.16212;2.116661;3.27121;0.06738281; ; ;66.78049;86.00263;156.3987;2019/08/07 12:46:57;C
 ;12;12;50;F;R;R;yes;R;1;7.2;39.99999;21.6;Goal;S;E;No;SE; ; ; ;5;True;1; ;5.245117;5.3125;0.5039063;138.5212;73.89091;139.7;76.68106;1.178787;2.790154;139.9886;76.9697;1.467422;3.078789;0.06738281; ; ;67.17326;86.74173;156.9156;2019/08/07 12:46:57;C
 ;12;12;50;F;R;R;yes;R;2;7.2;-1;21.6;Outset;W;N;No;WN; ; ; ;6;True;1; ;6.994141;7.094727;1.749023;58.52121;73.89091;58.68939;78.41288;0.1681824;4.521973;59.36288;78.79773;0.841671;4.906822;0.1005859; ; ;69.82079;88.50462;159.7606;2019/08/07 12:46:59;C
 ;12;12;50;F;R;R;yes;R;2;7.2;40.00001;21.6;Center;W;N;No;WN; ; ; ;7;True;1; ;7.431641;7.499023;0.4375;98.52122;73.89091;100.3492;76.10378;1.828018;2.212875;100.7341;76.48864;2.212868;2.597733;0.06738281; ; ;68.73748;86.50198;158.4238;2019/08/07 12:46:59;C
 ;12;12;50;F;R;R;yes;R;2;7.2;40.00001;21.6;Goal;W;N;No;WN; ; ; ;8;True;1; ;7.935547;8.00293;0.5039063;98.52122;113.8909;101.9848;116.6091;3.463631;2.71817;102.3697;116.6091;3.84848;2.71817;0.06738281; ; ;66.66653;85.59438;156.2052;2019/08/07 12:47:00;C
 ;12;12;50;F;R;R;yes;R;3;7.2;-1;21.6;Outset;N;N;No;NN; ; ; ;9;True;1; ;9.583984;9.650391;1.648438;98.52122;113.8909;100.0125;116.2723;1.49128;2.381432;100.0606;116.2242;1.539391;2.333321;0.06640625; ; ;69.36604;86.94245;159.1201;2019/08/07 12:47:02;C
 ;12;12;50;F;R;R;yes;R;3;7.2;40.00001;21.6;Center;N;N;No;NN; ; ; ;10;True;1; ;10.02051;10.12109;0.4365234;98.52122;73.89091;102.6583;75.81515;4.137108;1.92424;103.7125;78.07494;5.191246;4.184029;0.1005859; ; ;68.82404;87.506;158.6635;2019/08/07 12:47:02;C
 ;12;12;50;F;R;R;yes;R;3;7.2;40.00001;21.6;Goal;N;N;No;NN; ; ; ;11;True;1; ;10.49121;10.55859;0.4707031;98.52122;113.8909;101.4076;116.0318;2.88636;2.140907;102.6583;116.2242;4.137108;2.333321;0.06738281; ; ;66.98199;85.61993;156.5212;2019/08/07 12:47:03;C
 ;12;12;50;F;R;R;yes;R;4;7.2;-1;21.6;Outset;E;W;No;EW; ; ; ;12;True;1; ;12.13867;12.20605;1.647461;138.5212;73.89091;141.047;76.2;2.525757;2.30909;140.9508;76.10378;2.42955;2.212875;0.06738281; ; ;69.60011;87.19295;159.3907;2019/08/07 12:47:04;C
 ;12;12;50;F;R;R;yes;R;4;7.2;39.99999;21.6;Center;E;W;No;EW; ; ; ;13;True;1; ;12.60938;12.71094;0.4707031;98.52122;73.89091;99.96439;76.58485;1.443176;2.693939;99.57954;76.68106;1.058327;2.790154;0.1015625; ; ;69.28682;87.14156;159.0724;2019/08/07 12:47:05;C
 ;12;12;50;F;R;R;yes;R;4;7.2;40.00001;21.6;Goal;E;W;No;EW; ; ; ;14;True;1; ;13.04688;13.11426;0.4375;58.52121;73.89091;59.36288;77.12589;0.841671;3.234985;59.65151;77.83561;1.130302;3.944702;0.06738281; ; ;69.50751;87.60875;159.3559;2019/08/07 12:47:05;C
 ;12;12;50;F;R;R;yes;R;5;7.2;-1;21.6;Outset;S;W;No;SW; ; ; ;15;True;1; ;14.76172;14.8623;1.714844;98.52122;33.89091;100.0606;34.82879;1.539391;0.9378815;100.8303;36.65682;2.309082;2.765911;0.1005859; ; ;70.01643;87.13;159.7938;2019/08/07 12:47:07;C
 ;12;12;50;F;R;R;yes;R;5;7.2;40;21.6;Center;S;W;No;SW; ; ; ;16;True;1; ;15.19922;15.26563;0.4375;98.52122;73.89091;100.9424;76.21587;2.421173;2.324966;100.8303;76.2;2.309082;2.30909;0.06640625; ; ;69.35645;86.73931;159.0771;2019/08/07 12:47:07;C
 ;12;12;50;F;R;R;yes;R;5;7.2;40.00001;21.6;Goal;S;W;No;SW; ; ; ;17;True;1; ;15.60254;15.66992;0.4033203;58.52121;73.89091;59.17046;78.50909;0.6492462;4.618179;59.17046;78.41288;0.6492462;4.521973;0.06738281; ; ;69.88416;86.24957;159.5075;2019/08/07 12:47:08;C
