ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;11;24;M;L;L;no;L;0;7.2;-1;21.6;Outset;N;E;No;NE; ; ; ;0;False;1; ;2.015137;2.08252;2.015137;98.52122;113.8909;101.1189;113.3379;2.597717;-0.5530396;101.1189;113.3379;2.597717;-0.5530396;0.06738281; ; ;89.60197;89.03333;178.9545;2019/08/07 11:52:00;C
 ;12;11;24;M;L;L;no;L;0;7.2;40.00001;21.6;Center;N;E;No;NE; ; ; ;1;False;1; ;3.39209;3.425781;1.376953;98.52122;73.89091;101.3114;70.52348;2.790138;-3.367424;101.1189;70.33106;2.597717;-3.559845;0.03369141; ; ;89.66851;88.88557;178.8373;2019/08/07 11:52:02;C
 ;12;11;24;M;L;L;no;L;0;7.2;39.99999;21.6;Goal;N;E;No;NE; ; ; ;2;False;1; ;4.265137;4.33252;0.8730469;138.5212;73.89091;139.6038;73.40984;1.082581;-0.4810638;139.4626;73.26861;0.9413452;-0.6222992;0.06738281; ; ;89.60824;88.7197;178.6612;2019/08/07 11:52:02;C
 ;12;11;24;M;L;L;no;L;1;7.2;-1;21.6;Outset;S;W;No;SW; ; ; ;3;False;1; ;6.481934;6.549316;2.216797;98.52122;33.89091;98.80984;32.42348;0.2886276;-1.467422;98.80984;32.42348;0.2886276;-1.467422;0.06738281; ; ;89.59705;88.899;178.8276;2019/08/07 11:52:05;C
 ;12;11;24;M;L;L;no;L;1;7.2;40;21.6;Center;S;W;No;SW; ; ; ;4;False;1; ;7.321777;7.38916;0.8398438;98.52122;73.89091;100.7341;71.38939;2.212868;-2.501518;100.3492;71.38939;1.828018;-2.501518;0.06738281; ; ;89.48693;88.71375;178.6152;2019/08/07 11:52:06;C
 ;12;11;24;M;L;L;no;L;1;7.2;40.00001;21.6;Goal;S;W;No;SW; ; ; ;5;False;1; ;8.061035;8.12793;0.7392578;58.52121;73.89091;60.51742;71.87045;1.996212;-2.020454;60.11049;71.87045;1.589279;-2.020454;0.06689453; ; ;89.56392;88.73388;178.6609;2019/08/07 11:52:06;C
 ;12;11;24;M;L;L;no;L;2;7.2;-1;21.6;Outset;W;N;No;WN; ; ; ;6;False;1; ;10.0752;10.14258;2.01416;58.52121;73.89091;61.57576;74.08334;3.05455;0.1924286;61.57576;74.08334;3.05455;0.1924286;0.06738281; ; ;89.50114;88.90387;178.7957;2019/08/07 11:52:08;C
 ;12;11;24;M;L;L;no;L;2;7.2;40.00001;21.6;Center;W;N;No;WN; ; ; ;7;False;1; ;10.71338;10.78076;0.6381836;98.52122;73.89091;100.0606;74.66061;1.539391;0.7696991;100.0606;74.56439;1.539391;0.6734848;0.06738281; ; ;89.57811;88.91711;178.8378;2019/08/07 11:52:09;C
 ;12;11;24;M;L;L;no;L;2;7.2;40.00001;21.6;Goal;W;N;No;WN; ; ; ;8;False;1; ;11.25098;11.28418;0.5375977;98.52122;113.8909;100.4455;112.953;1.92424;-0.9378891;100.4455;112.953;1.92424;-0.9378891;0.03320313; ; ;89.52856;88.43298;178.3636;2019/08/07 11:52:09;C
 ;12;11;24;M;L;L;no;L;3;7.2;-1;21.6;Outset;N;N;No;NN; ; ; ;9;False;1; ;13.40039;13.46729;2.149414;98.52122;113.8909;99.77197;112.6644;1.250748;-1.226524;99.56927;112.6644;1.048058;-1.226524;0.06689453; ; ;89.68597;88.84607;178.804;2019/08/07 11:52:12;C
 ;12;11;24;M;L;L;no;L;3;7.2;40.00001;21.6;Center;N;N;No;NN; ; ; ;10;False;1; ;14.54199;14.60938;1.141602;98.52122;73.89091;101.2151;72.06288;2.693932;-1.828026;101.2151;72.06288;2.693932;-1.828026;0.06738281; ; ;89.43874;88.56165;178.456;2019/08/07 11:52:13;C
 ;12;11;24;M;L;L;no;L;3;7.2;40.00001;21.6;Goal;N;N;No;NN; ; ; ;11;False;1; ;15.51611;15.5498;0.9741211;98.52122;113.8909;99.29091;111.8947;0.7696915;-1.996223;99.09772;111.7977;0.5765076;-2.093208;0.03369141; ; ;89.86856;88.89731;178.8893;2019/08/07 11:52:14;C
 ;12;11;24;M;L;L;no;L;4;7.2;-1;21.6;Outset;S;S;No;SS; ; ; ;12;False;1; ;17.46387;17.53125;1.947754;98.52122;33.89091;99.00227;32.80833;0.4810562;-1.082577;99.00227;32.80833;0.4810562;-1.082577;0.06738281; ; ;89.53257;88.7322;178.6487;2019/08/07 11:52:16;C
 ;12;11;24;M;L;L;no;L;4;7.2;40;21.6;Center;S;S;No;SS; ; ; ;13;False;1; ;18.10205;18.16943;0.6381836;98.52122;73.89091;100.4455;72.2553;1.92424;-1.635605;100.4455;72.06288;1.92424;-1.828026;0.06738281; ; ;89.34911;88.66315;178.513;2019/08/07 11:52:16;C
 ;12;11;24;M;L;L;no;L;4;7.2;40;21.6;Goal;S;S;No;SS; ; ; ;14;False;1; ;19.14355;19.24463;1.041504;98.52122;33.89091;99.77197;35.30985;1.250748;1.418941;99.57954;35.30985;1.058327;1.418941;0.1010742; ; ;89.80776;88.96044;178.9428;2019/08/07 11:52:17;C
 ;12;11;24;M;L;L;no;L;5;7.2;-1;21.6;Outset;N;S;No;NS; ; ; ;15;False;1; ;21.05811;21.125;1.914551;98.52122;113.8909;100.8303;112.0871;2.309082;-1.803787;100.8303;112.1833;2.309082;-1.707588;0.06689453; ; ;89.57773;88.97648;178.8929;2019/08/07 11:52:19;C
 ;12;11;24;M;L;L;no;L;5;7.2;40.00001;21.6;Center;N;S;No;NS; ; ; ;16;False;1; ;21.66309;21.79736;0.6049805;98.52122;73.89091;100.0606;70.90833;1.539391;-2.982574;99.96439;71.00454;1.443176;-2.886368;0.1342773; ; ;89.71093;88.85072;178.8148;2019/08/07 11:52:20;C
