ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;9;38;M;R;R;no;R;0;7.2;-1;21.6;Outset;W;N;No;WN; ; ; ;0;False;1; ;1.443848;1.477539;1.443848;58.52121;73.89091;58.88182;74.75681;0.3606071;0.8659058;58.88182;74.75681;0.3606071;0.8659058;0.03369141; ; ;89.34383;89.06566;178.8582;2019/08/07 11:05:56;C
 ;12;9;38;M;R;R;no;R;0;7.2;40.00001;21.6;Center;W;N;No;WN; ; ; ;1;False;1; ;2.652344;2.719727;1.208496;98.52122;73.89091;100.253;73.07542;1.731812;-0.8154831;100.1568;73.12122;1.635597;-0.7696915;0.06738281; ; ;89.76814;88.79846;178.7762;2019/08/07 11:05:57;C
 ;12;9;38;M;R;R;no;R;0;7.2;40.00001;21.6;Goal;W;N;No;WN; ; ; ;2;False;1; ;3.727051;3.794434;1.074707;98.52122;113.8909;99.57954;113.4341;1.058327;-0.4568253;99.06637;113.3379;0.5451508;-0.5530396;0.06738281; ; ;89.60635;89.04183;178.9641;2019/08/07 11:05:58;C
 ;12;9;38;M;R;R;no;R;1;7.2;-1;21.6;Outset;N;N;No;NN; ; ; ;3;False;1; ;5.943359;5.977051;2.216309;98.52122;113.8909;100.253;114.3962;1.731812;0.5052948;100.253;114.3962;1.731812;0.5052948;0.03369141; ; ;89.77917;89.1482;179.1199;2019/08/07 11:06:00;C
 ;12;9;38;M;R;R;no;R;1;7.2;40.00001;21.6;Center;N;N;No;NN; ; ; ;4;False;1; ;7.286621;7.354004;1.343262;98.52122;73.89091;99.19469;75.33409;0.6734772;1.443184;98.90606;75.33409;0.3848419;1.443184;0.06738281; ; ;89.4874;88.92561;178.8094;2019/08/07 11:06:01;C
 ;12;9;38;M;R;R;no;R;1;7.2;40.00001;21.6;Goal;N;N;No;NN; ; ; ;5;False;1; ;9.469727;9.570801;2.183105;98.52122;113.8909;99.48334;114.2038;0.9621201;0.3128662;99.19469;114.2038;0.6734772;0.3128662;0.1010742; ; ;89.64079;88.84482;178.7902;2019/08/07 11:06:04;C
 ;12;9;38;M;R;R;no;R;2;7.2;-1;21.6;Outset;W;N;No;WN; ; ; ;6;False;1; ;12.12305;12.19043;2.65332;58.52121;73.89091;58.11212;74.56439;-0.4090919;0.6734848;58.11212;74.46819;-0.4090919;0.5772781;0.06738281; ; ;89.48695;88.9809;178.8591;2019/08/07 11:06:06;C
 ;12;9;38;M;R;R;no;R;2;7.2;40.00001;21.6;Center;W;N;No;WN; ; ; ;7;False;1; ;13.53369;13.60059;1.410645;98.52122;73.89091;99.57954;75.33409;1.058327;1.443184;99.38712;75.33409;0.8658981;1.443184;0.06689453; ; ;89.57603;88.93297;178.8519;2019/08/07 11:06:08;C
 ;12;9;38;M;R;R;no;R;2;7.2;40.00001;21.6;Goal;W;N;No;WN; ; ; ;8;False;1; ;14.6084;14.70898;1.074707;98.52122;113.8909;98.32878;114.4924;-0.1924362;0.6015167;98.32878;114.3962;-0.1924362;0.5052948;0.1005859; ; ;89.54562;88.70666;178.6291;2019/08/07 11:06:09;C
 ;12;9;38;M;R;R;no;R;3;7.2;-1;21.6;Outset;N;N;No;NN; ; ; ;9;False;1; ;16.8584;16.95898;2.25;98.52122;113.8909;99.57954;114.3962;1.058327;0.5052948;99.48334;113.9152;0.9621201;0.02423859;0.1005859; ; ;89.55226;88.84667;178.763;2019/08/07 11:06:11;C
 ;12;9;38;M;R;R;no;R;3;7.2;40.00001;21.6;Center;N;N;No;NN; ; ; ;10;False;1; ;18.16846;18.23535;1.310059;98.52122;73.89091;99.29091;74.17954;0.7696915;0.2886353;99.19469;74.17954;0.6734772;0.2886353;0.06689453; ; ;89.51445;89.06407;178.9456;2019/08/07 11:06:12;C
 ;12;9;38;M;R;R;no;R;3;7.2;40.00001;21.6;Goal;N;N;No;NN; ; ; ;11;False;1; ;19.61182;19.7124;1.443359;98.52122;113.8909;100.5417;113.7227;2.020447;-0.1681976;100.4399;113.1455;1.918671;-0.7454605;0.1005859; ; ;89.54305;88.77913;178.6963;2019/08/07 11:06:14;C
 ;12;9;38;M;R;R;no;R;4;7.2;-1;21.6;Outset;N;N;No;NN; ; ; ;12;False;1; ;21.72754;21.82813;2.115723;98.52122;113.8909;100.5417;114.5886;2.020447;0.6977158;100.5417;113.8189;2.020447;-0.07198334;0.1005859; ; ;89.60712;88.86956;178.8033;2019/08/07 11:06:16;C
