ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;11;24;M;L;L;no;L;0;7.2;-1;21.6;Outset;S;W;No;SW; ; ; ;0;False;1; ;0.940918;1.008301;0.940918;98.52122;33.89091;104.5826;33.19318;6.061348;-0.6977272;104.4864;33.48182;5.965149;-0.4090881;0.06738281; ; ;77.2808;93.02709;166.9137;2019/08/07 12:00:38;C
 ;12;11;24;M;L;L;no;L;0;7.2;40;21.6;Center;S;W;No;SW; ; ; ;1;False;1; ;1.411133;1.478516;0.4702148;98.52122;73.89091;101.2921;71.19697;2.770874;-2.693939;100.7181;71.08482;2.196922;-2.806091;0.06738281; ; ;73.64829;95.35992;162.745;2019/08/07 12:00:38;C
 ;12;11;24;M;L;L;no;L;0;7.2;40.00001;21.6;Goal;S;W;No;SW; ; ; ;2;False;1; ;1.713379;1.814453;0.3022461;58.52121;73.89091;60.325;71.67803;1.803791;-2.212875;60.13258;71.4856;1.611366;-2.405304;0.1010742; ; ;71.63895;95.04278;160.9109;2019/08/07 12:00:39;C
 ;12;11;24;M;L;L;no;L;1;7.2;-1;21.6;Outset;S;S;No;SS; ; ; ;3;False;1; ;3.292969;3.359863;1.57959;98.52122;33.89091;101.2151;34.05909;2.693932;0.1681824;101.2151;34.1553;2.693932;0.2643967;0.06689453; ; ;72.21762;93.30444;161.8929;2019/08/07 12:00:40;C
 ;12;11;24;M;L;L;no;L;1;7.2;40;21.6;Center;S;S;No;SS; ; ; ;4;False;1; ;3.628906;3.729492;0.3359375;98.52122;73.89091;100.1568;73.98712;1.635597;0.09621429;99.77197;73.98712;1.250748;0.09621429;0.1005859; ; ;71.42611;92.43639;161.2553;2019/08/07 12:00:41;C
 ;12;11;24;M;L;L;no;L;1;7.2;40;21.6;Goal;S;S;No;SS; ; ; ;5;False;1; ;4.26709;4.300781;0.6381836;98.52122;33.89091;103.1394;35.11742;4.618172;1.226517;103.1394;35.02121;4.618172;1.130302;0.03369141; ; ;71.05797;93.40932;160.7304;2019/08/07 12:00:41;C
 ;12;11;24;M;L;L;no;L;2;7.2;-1;21.6;Outset;E;N;No;EN; ; ; ;6;False;1; ;5.880371;5.980957;1.613281;138.5212;73.89091;143.3561;72.64015;4.834854;-1.250755;142.3939;72.64015;3.872726;-1.250755;0.1005859; ; ;71.82462;91.68488;161.7412;2019/08/07 12:00:43;C
 ;12;11;24;M;L;L;no;L;2;7.2;39.99999;21.6;Center;E;N;No;EN; ; ; ;7;False;1; ;6.182617;6.25;0.3022461;98.52122;73.89091;100.3973;69.36893;1.876129;-4.521973;100.3973;69.36893;1.876129;-4.521973;0.06738281; ; ;72.2122;91.75128;162.1204;2019/08/07 12:00:43;C
 ;12;11;24;M;L;L;no;L;2;7.2;40.00001;21.6;Goal;E;N;No;EN; ; ; ;8;False;1; ;6.484863;6.518555;0.3022461;98.52122;113.8909;101.8886;113.3379;3.367416;-0.5530396;101.7924;113.4341;3.27121;-0.4568253;0.03369141; ; ;72.66142;94.28138;162.1079;2019/08/07 12:00:43;C
 ;12;11;24;M;L;L;no;L;3;7.2;-1;21.6;Outset;N;E;No;NE; ; ; ;9;False;1; ;8.232422;8.299805;1.747559;98.52122;113.8909;100.4455;114.5886;1.92424;0.6977158;100.4455;114.1076;1.92424;0.2166519;0.06738281; ; ;70.58461;95.26903;159.8264;2019/08/07 12:00:45;C
