ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;5;33;M;L;L;No;R;0;21.6;-1;21.6;Outset;W;W;No;WW; ; ; ;0;False;1; ;1.177734;1.27832;1.177734;58.52121;73.89091;49.74167;73.50607;-8.779541;-0.3848419;51.09155;72.44598;-7.429665;-1.444923;0.1005859; ; ;79.41081;91.10912;169.3515;2019/08/06 14:13:10;S
 ;12;5;33;M;L;L;No;R;0;21.6;40.00001;21.6;Center;W;W;No;WW; ; ; ;1;False;1; ;1.480469;1.581055;0.3027344;98.52122;73.89091;97.07803;72.2553;-1.443184;-1.635605;96.78174;72.2553;-1.739479;-1.635605;0.1005859; ; ;81.68231;89.75327;171.6786;2019/08/06 14:13:10;S
 ;12;5;33;M;L;L;No;R;0;21.6;40.00001;21.6;Goal;W;W;No;WW; ; ; ;2;False;1; ;1.71582;1.783203;0.2353516;58.52121;73.89091;57.53485;76.68106;-0.9863625;2.790154;59.36288;75.04546;0.841671;1.154549;0.06738281; ; ;78.33961;91.51765;168.2385;2019/08/06 14:13:10;S
 ;12;5;33;M;L;L;No;R;1;21.6;-1;21.6;Outset;W;N;No;WN; ; ; ;3;False;1; ;3.364746;3.397949;1.648926;58.52121;73.89091;55.12954;72.35151;-3.391666;-1.539398;55.12954;72.35151;-3.391666;-1.539398;0.03320313; ; ;80.76258;91.81379;170.5831;2019/08/06 14:13:12;S
 ;12;5;33;M;L;L;No;R;1;21.6;40.00001;21.6;Center;W;N;No;WN; ; ; ;4;False;1; ;3.566406;3.66748;0.2016602;98.52122;73.89091;99.19469;70.6197;0.6734772;-3.27121;99.09849;71.77424;0.5772705;-2.116669;0.1010742; ; ;80.88226;89.17084;170.844;2019/08/06 14:13:12;S
 ;12;5;33;M;L;L;No;R;1;21.6;40.00001;21.6;Goal;W;N;No;WN; ; ; ;5;False;1; ;3.768066;3.835449;0.2016602;98.52122;113.8909;91.49773;110.6439;-7.023491;-3.246979;93.171;111.0079;-5.35022;-2.883049;0.06738281; ; ;80.09447;92.98307;169.6463;2019/08/06 14:13:12;S
 ;12;5;33;M;L;L;No;R;2;21.6;-1;21.6;Outset;W;N;No;WN; ; ; ;6;False;1; ;5.349121;5.416504;1.581055;58.52121;73.89091;61.76818;76.2;3.246971;2.30909;62.34546;75.52651;3.824245;1.635605;0.06738281; ; ;77.50196;91.47041;167.4129;2019/08/06 14:13:14;S
 ;12;5;33;M;L;L;No;R;2;21.6;40.00001;21.6;Center;W;N;No;WN; ; ; ;7;False;1; ;5.55127;5.651855;0.2021484;98.52122;73.89091;99.00227;71.96667;0.4810562;-1.92424;98.71364;73.025;0.192421;-0.8659058;0.1005859; ; ;82.18758;88.34792;172.0126;2019/08/06 14:13:14;S
 ;12;5;33;M;L;L;No;R;2;21.6;40.00001;21.6;Goal;W;N;No;WN; ; ; ;8;False;1; ;5.75293;5.854004;0.2016602;98.52122;113.8909;93.22955;109.5856;-5.291672;-4.305305;93.89247;109.5571;-4.628746;-4.333855;0.1010742; ; ;78.1881;93.3302;167.7146;2019/08/06 14:13:14;S
 ;12;5;33;M;L;L;No;R;3;21.6;-1;21.6;Outset;W;N;No;WN; ; ; ;9;False;1; ;7.266602;7.333984;1.513672;58.52121;73.89091;55.61061;75.81515;-2.910603;1.92424;56.09166;75.23788;-2.429546;1.34697;0.06738281; ; ;77.72276;92.44444;167.4743;2019/08/06 14:13:16;S
