StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;Bug
;0;0;125.946;0;5.378.391;5.993.266;0;0;5.378.391;5.993.266;
;1;0;1.276.978;0;5.378.391;5.993.266;0;0;5.378.391;5.993.266;
;2;0;1.291.687;0;5.341.916;5.985.914;-0.3647499;-0.07351685;5.378.391;5.993.266;
;3;0;131.073;0;5.311.249;5.975.597;-0.3066673;-0.1031685;5.378.391;5.993.266;
;4;0;1.648.621;1;9.053.506;5.710.565;0;0;9.053.506;5.710.565;
;5;0;1.662.415;1;9.053.506;5.710.565;0;0;9.053.506;5.710.565;
;6;0;1.677.856;1;9.042.003;5.694.626;-0.115036;-0.1593895;9.053.506;5.710.565;
;7;0;1.694.519;1;9.039.371;568.168;-0.02631378;-0.1294556;9.053.506;5.710.565;
;8;0;1.946.045;2;1.248.833;6.021.536;0;0;1.248.833;6.021.536;
;9;0;1.963.684;2;1.247.773;6.000.334;-0.1060181;-0.2120247;1.248.833;6.021.536;
;10;0;1.982.361;2;1.253.538;5.959.439;0.5765915;-0.4089508;1.248.833;6.021.536;
;11;0;3.630.005;3;9.230.196;231.815;0;0;9.230.196;231.815;
;12;0;364.679;3;9.230.196;231.815;0;0;9.230.196;231.815;
;13;0;3.664.246;3;9.214.135;2.302.089;-0.1606064;-0.1606064;9.230.196;231.815;
;14;0;40.177;4;9.159.519;5.964.996;0;0;9.159.519;5.964.996;
;15;0;4.032.104;4;9.159.519;5.964.996;0;0;9.159.519;5.964.996;
;16;0;4.050.049;4;917.783;5.945.722;0.1831055;-0.1927414;9.159.519;5.964.996;
;17;0;4.267.883;5;1.347.071;5.661.092;0;0;1.347.071;5.661.092;
;18;0;4.284.668;5;1.347.071;5.651.606;0;-0.09485626;1.347.071;5.661.092;
;19;0;5.898.865;6;9.110.047;166.087;0;0;9.110.047;166.087;
;20;0;5.916.931;6;9.110.047;166.087;0;0;9.110.047;166.087;
;21;0;5.932.434;6;9.082.912;1.643.769;-0.2713547;-0.1710129;9.110.047;166.087;
;22;0;5.950.989;6;90.56;1.684.984;-0.2691193;0.4121552;9.110.047;166.087;
;23;0;5.966.797;6;9.024.985;1.803.226;-0.3101501;1.182.423;9.110.047;166.087;
;24;0;6.150.696;7;956.237;5.830.713;0;0;956.237;5.830.713;
;25;0;6.168.884;7;956.237;5.830.713;0;0;956.237;5.830.713;
;26;0;6.184.998;7;9.552.711;5.883.482;-0.09658813;0.5276947;956.237;5.830.713;
;27;0;6.202.881;7;9.516.606;595.634;-0.3610458;0.7285767;956.237;5.830.713;
;28;0;6.219.971;7;9.485.703;6.046.576;-0.3090286;0.902359;956.237;5.830.713;
;29;0;6.406.433;8;9.364.478;9.117.115;0;0;9.364.478;9.117.115;
;30;0;6.421.326;8;9.364.478;9.117.115;0;0;9.364.478;9.117.115;
;31;0;643.689;8;9.348.138;9.144.933;-0.1633987;0.2781754;9.364.478;9.117.115;
;32;0;8.088.928;9;9.060.574;1.823.423;0;0;9.060.574;1.823.423;
;33;0;8.102.966;9;9.060.574;1.823.423;0;0;9.060.574;1.823.423;
;34;0;8.118.469;9;9.060.574;1.823.423;0;0;9.060.574;1.823.423;
;35;0;8.137.329;9;9.060.574;1.823.423;0;0;9.060.574;1.823.423;
;36;0;8.572.266;10;9.180.722;5.851.916;0;0;9.180.722;5.851.916;
;37;0;859.021;10;9.180.722;5.841.467;0;-0.1044884;9.180.722;5.851.916;
;38;0;8.607.178;10;9.173.655;5.831.167;-0.07067108;-0.1029968;9.180.722;5.851.916;
;39;0;8.625.122;10;9.173.655;5.820.734;0;-0.104332;9.180.722;5.851.916;
;40;0;8.958.252;11;5.357.188;5.880.185;0;0;5.357.188;5.880.185;
;41;0;8.976.379;11;5.357.188;5.880.185;0;0;5.357.188;5.880.185;
;42;0;8.993.103;11;5.264.404;5.880.185;-0.9278374;0;5.357.188;5.880.185;
;43;0;9.011.841;11;5.185.043;5.880.185;-0.7936096;0;5.357.188;5.880.185;
;44;0;9.026.428;11;5.132.267;5.889.832;-0.5277596;0.09646988;5.357.188;5.880.185;
;45;0;9.044.373;11;5.118.092;589.432;-0.141758;0.04487991;5.357.188;5.880.185;
;46;0;9.059.937;11;5.107.748;5.912.609;-0.1034317;0.1828918;5.357.188;5.880.185;
;47;0;107.641;12;1.315.267;5.830.713;0;0;1.315.267;5.830.713;
;48;0;1.077.594;12;1.315.267;5.830.713;0;0;1.315.267;5.830.713;
;49;0;1.079.358;12;1.315.267;5.818.442;0;-0.1227074;1.315.267;5.830.713;
;50;0;1.080.927;12;1.316.109;5.808.157;0.084198;-0.1028481;1.315.267;5.830.713;
;51;0;1.121.283;13;9.081.777;5.654.025;0;0;9.081.777;5.654.025;
;52;0;1.122.961;13;9.081.777;5.654.025;0;0;9.081.777;5.654.025;
;53;0;1.124.622;13;9.066.442;5.654.025;-0.1533508;0;9.081.777;5.654.025;
;54;0;1.126.373;13;9.051.501;5.658.561;-0.1494141;0.04536819;9.081.777;5.654.025;
;55;0;1.168.304;14;5.251.175;5.731.767;0;0;5.251.175;5.731.767;
;56;0;1.170.074;14;5.240.129;5.720.721;-0.110466;-0.110466;5.251.175;5.731.767;
;57;0;1.171.765;14;523.704;5.710.467;-0.03088379;-0.1025352;5.251.175;5.731.767;
;58;0;1.173.407;14;523.704;5.710.565;0;0.0009765625;5.251.175;5.731.767;
;59;0;1.350.641;15;5.046.217;566.816;0;0;5.046.217;566.816;
;60;0;1.351.678;15;5.046.217;566.816;0;0;5.046.217;566.816;
;61;0;1.353.369;15;5.039.149;5.656.079;-0.0706749;-0.1208076;5.046.217;566.816;
;62;0;1.355.151;15;5.039.149;5.654.025;0;-0.02054596;5.046.217;566.816;
;63;0;1.408.862;16;921.606;5.632.822;0;0;921.606;5.632.822;
;64;0;1.410.571;16;921.606;5.632.822;0;0;921.606;5.632.822;
;65;0;1.412.292;16;921.606;5.632.822;0;0;921.606;5.632.822;
;66;0;1.455.957;17;9.201.925;1.583.127;0;0;9.201.925;1.583.127;
;67;0;1.457.587;17;9.193.047;1.583.127;-0.08877563;0;9.201.925;1.583.127;
;68;0;1.459.406;17;9.182.632;1.588.284;-0.1041489;0.05157471;9.201.925;1.583.127;
;69;0;1.621.118;18;4.820.056;6.169.955;0;0;4.820.056;6.169.955;
;70;0;162.251;18;4.820.056;6.169.955;0;0;4.820.056;6.169.955;
;71;0;1.624.286;18;4.812.988;6.150.569;-0.07067871;-0.1938553;4.820.056;6.169.955;
;72;0;162.583;18;4.812.988;612.986;0;-0.2070885;4.820.056;6.169.955;
;73;0;162.785;18;4.842.293;612.199;0.2930489;-0.07870483;4.820.056;6.169.955;
;74;0;1.661.115;19;9.117.115;5.851.916;0;0;9.117.115;5.851.916;
;75;0;166.286;19;9.117.115;5.841.692;0;-0.1022377;9.117.115;5.851.916;
