StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;Bug
;0;11;1.008.301;0;8.876.819;171.741;0;0;8.876.819;171.741;
;1;11;1.020.996;0;8.876.819;171.741;0;0;8.876.819;171.741;
;2;11;1.040.527;0;8.900.903;171.741;0.2408371;0;8.876.819;171.741;
;3;11;1.055.176;0;8.931.818;171.741;0.3091507;0;8.876.819;171.741;
;4;11;1.075.195;0;8.957.722;1.722.524;0.2590485;0.05114365;8.876.819;171.741;
;5;11;1.375.977;1;8.714.265;589.432;0;0;8.714.265;589.432;
;6;11;1.391.602;1;8.714.265;589.432;0;0;8.714.265;589.432;
;7;11;1.408.203;1;8.734.428;5.914.483;0.201622;0.2016296;8.714.265;589.432;
;8;11;142.627;1;8.755.074;5.925.326;0.206459;0.108429;8.714.265;589.432;
;9;11;1.442.383;1;8.775.822;5.929.658;0.207489;0.0433197;8.714.265;589.432;
;10;11;1.710.449;2;1.302.546;589.432;0;0;1.302.546;589.432;
;11;11;1.728.027;2;1.302.546;589.432;0;0;1.302.546;589.432;
;12;11;1.743.652;2;1.307.151;5.917.348;0.4605408;0.2302742;1.302.546;589.432;
;13;11;3.424.805;3;9.194.858;9.838.003;0;0;9.194.858;9.838.003;
;14;11;3.441.406;3;9.194.858;9.838.003;0;0;9.194.858;9.838.003;
;15;11;3.458.008;3;92.178;9.860.945;0.2294235;0.2294235;9.194.858;9.838.003;
;16;11;3.478.516;3;9.227.292;9.870.437;0.0949173;0.0949173;9.194.858;9.838.003;
;17;11;3.492.188;3;9.230.196;9.873.341;0.02903748;0.02903748;9.194.858;9.838.003;
;18;11;3.777.344;4;8.954.562;5.258.243;0;0;8.954.562;5.258.243;
;19;11;3.794.434;4;8.964.042;5.258.243;0.09480286;0;8.954.562;5.258.243;
;20;11;3.813.477;4;8.998.606;5.276.731;0.3456421;0.1848831;8.954.562;5.258.243;
;21;11;3.828.613;4;9.040.417;5.306.733;0.4181137;0.3000107;8.954.562;5.258.243;
;22;11;3.845.215;4;9.064.129;5.325.405;0.237114;0.1867256;8.954.562;5.258.243;
;23;11;3.861.328;4;9.076.173;5.337.449;0.1204376;0.1204414;8.954.562;5.258.243;
;24;11;4.148.926;5;5.350.121;5.887.253;0;0;5.350.121;5.887.253;
;25;11;4.164.063;5;5.350.121;5.887.253;0;0;5.350.121;5.887.253;
;26;11;4.180.664;5;5.364.057;5.901.189;0.1393623;0.1393623;5.350.121;5.887.253;
;27;11;4.197.266;5;5.374.355;5.911.488;0.1029816;0.1029816;5.350.121;5.887.253;
;28;11;4.214.844;5;5.371.324;5.908.456;-0.0303154;-0.0303154;5.350.121;5.887.253;
;29;11;4.233.887;5;5.361.758;5.889.325;-0.09565353;-0.1913071;5.350.121;5.887.253;
;30;11;5.745.117;6;9.145.384;1.505.384;0;0;9.145.384;1.505.384;
;31;11;5.760.254;6;9.154.327;1.514.326;0.08943176;0.08942223;9.145.384;1.505.384;
;32;11;577.832;6;9.164.645;1.524.644;0.1031723;0.1031752;9.145.384;1.505.384;
;33;11;579.541;6;9.174.899;1.543.212;0.1025467;0.1856775;9.145.384;1.505.384;
;34;11;58.125;6;9.180.722;1.564.061;0.05822754;0.208498;9.145.384;1.505.384;
;35;11;6.113.281;7;8.890.954;5.689.362;0;0;8.890.954;5.689.362;
;36;11;6.131.348;7;8.900.934;5.699.343;0.09980011;0.09980774;8.890.954;5.689.362;
;37;11;6.149.902;7;8.924.446;571.671;0.2351227;0.1736679;8.890.954;5.689.362;
;38;11;6.164.063;7;8.935.703;5.727.044;0.1125641;0.1033478;8.890.954;5.689.362;
;39;11;64.375;8;4.805.921;5.583.349;0;0;4.805.921;5.583.349;
;40;11;6.449.707;8;4.805.921;5.583.349;0;0;4.805.921;5.583.349;
;41;11;646.875;8;4.810.308;5.594.804;0.04387665;0.1145515;4.805.921;5.583.349;
;42;11;648.291;8;4.820.519;5.605.014;0.1021042;0.1021004;4.805.921;5.583.349;
;43;11;6.5;8;4.820.056;561.162;-0.004627228;0.06605148;4.805.921;5.583.349;
;44;11;651.709;8;4.820.056;5.604.456;0;-0.07164001;4.805.921;5.583.349;
;45;11;8.016.602;9;5.102.757;5.456.134;0;0;5.102.757;5.456.134;
;46;11;8.029.785;9;5.102.757;5.456.134;0;0;5.102.757;5.456.134;
;47;11;804.834;9;5.114.941;5.468.317;0.1218376;0.1218376;5.102.757;5.456.134;
;48;11;8.062.988;9;5.125.278;5.478.654;0.1033669;0.1033669;5.102.757;5.456.134;
;49;11;8.080.566;9;5.131.028;5.488.943;0.05749893;0.10289;5.102.757;5.456.134;
;50;11;8.098.633;9;5.131.028;5.491.471;0;0.02528;5.102.757;5.456.134;
;51;11;8.349.121;10;9.138.317;5.901.388;0;0;9.138.317;5.901.388;
;52;11;8.365.723;10;9.159.428;59.225;0.211113;0.2111168;9.138.317;5.901.388;
;53;11;8.382.813;10;9.200.837;5.950.136;0.4140854;0.2763596;9.138.317;5.901.388;
;54;11;8.402.832;10;9.221.877;5.960.836;0.2103958;0.1070061;9.138.317;5.901.388;
;55;11;8.617.676;11;1.285.584;5.399.593;0;0;1.285.584;5.399.593;
;56;11;8.635.742;11;1.285.584;5.399.593;0;0;1.285.584;5.399.593;
;57;11;8.652.344;11;1.288.858;542.527;0.3274384;0.2567673;1.285.584;5.399.593;
;58;11;1.031.836;12;1.321.628;5.625.755;0;0;1.321.628;5.625.755;
;59;11;1.033.252;12;1.321.628;5.625.755;0;0;1.321.628;5.625.755;
;60;11;1.034.961;12;1.324.276;5.638.994;0.264801;0.1323967;1.321.628;5.625.755;
;61;11;1.036.719;12;1.325.401;5.649.345;0.1124573;0.103508;1.321.628;5.625.755;
;62;11;103.833;12;1.325.869;5.646.957;0.04679871;-0.02388;1.321.628;5.625.755;
;63;11;1.060.107;13;9.039.371;5.738.835;0;0;9.039.371;5.738.835;
;64;11;1.061.768;13;9.039.371;5.738.835;0;0;9.039.371;5.738.835;
;65;11;1.063.672;13;9.039.371;5.738.835;0;0;9.039.371;5.738.835;
;66;11;1.065.137;13;9.039.371;5.738.835;0;0;9.039.371;5.738.835;
;67;11;1.066.943;13;9.032.304;569.643;-0.07067108;-0.4240532;9.039.371;5.738.835;
;68;11;1.085.742;14;8.848.548;1.653.802;0;0;8.848.548;1.653.802;
;69;11;1.086.963;14;8.848.548;1.653.802;0;0;8.848.548;1.653.802;
;70;11;1.088.818;14;8.853.154;1.653.802;0.04605865;0;8.848.548;1.653.802;
;71;11;1.090.283;14;8.863.346;1.653.802;0.1019211;0;8.848.548;1.653.802;
;72;11;1.091.943;14;8.869.751;1.653.802;0.06404877;0;8.848.548;1.653.802;
;73;11;1.250.049;15;8.975.764;1.505.384;0;0;8.975.764;1.505.384;
;74;11;1.251.758;15;8.994.231;1.514.618;0.1846771;0.09233856;8.975.764;1.505.384;
;75;11;1.253.467;15;9.021.772;1.537.257;0.2754059;0.2263908;8.975.764;1.505.384;
;76;11;1.255.078;15;9.042.234;1.557.719;0.2046204;0.2046232;8.975.764;1.505.384;
;77;11;1.256.787;15;9.046.439;1.612.117;0.04205322;0.5439806;8.975.764;1.505.384;
