StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;Bug
;0;5;1.205.322;0;1.318.801;5.710.565;0;0;1.318.801;5.710.565;
;1;5;122.583;0;1.318.801;5.720.445;0;0.09880066;1.318.801;5.710.565;
;2;5;189.917;1;918.779;5.632.822;0;0;918.779;5.632.822;
;3;5;1.910.889;1;918.779;5.632.822;0;0;918.779;5.632.822;
;4;5;1.928.223;1;9.194.858;5.632.822;0.07067871;0;918.779;5.632.822;
;5;5;2.684.082;2;8.862.683;1.470.046;0;0;8.862.683;1.470.046;
;6;5;2.701.904;2;8.862.683;1.470.046;0;0;8.862.683;1.470.046;
;7;5;2.717.285;2;8.862.683;14.862;0;0.16154;8.862.683;1.470.046;
;8;5;4.536.865;3;1.301.132;5.562.146;0;0;1.301.132;5.562.146;
;9;5;4.549.805;3;1.301.132;5.562.146;0;0;1.301.132;5.562.146;
;10;5;4.567.139;3;1.302.193;5.562.146;0.1060181;0;1.301.132;5.562.146;
;11;5;5.126.953;4;8.975.764;563.989;0;0;8.975.764;563.989;
;12;5;5.140.137;4;8.975.764;563.989;0;0;8.975.764;563.989;
;13;5;5.155.273;4;8.989.226;563.989;0.1346207;0;8.975.764;563.989;
;14;5;5.171.387;4;8.999.619;563.989;0.1039352;0;8.975.764;563.989;
;15;5;5.710.693;5;4.926.069;5.795.375;0;0;4.926.069;5.795.375;
;16;5;5.726.074;5;4.926.069;5.795.375;0;0;4.926.069;5.795.375;
;17;5;5.743.164;5;4.926.069;5.773.881;0;-0.2149467;4.926.069;5.795.375;
;18;5;576.001;5;4.926.069;5.763.669;0;-0.1021194;4.926.069;5.795.375;
;19;5;7.427.979;6;9.166.587;9.633.044;0;0;9.166.587;9.633.044;
;20;5;744.165;6;9.166.587;9.633.044;0;0;9.166.587;9.633.044;
;21;5;7.459.229;6;9.166.587;9.633.044;0;0;9.166.587;9.633.044;
;22;5;8.013.672;7;9.117.115;5.583.349;0;0;9.117.115;5.583.349;
;23;5;8.030.029;7;9.117.115;5.583.349;0;0;9.117.115;5.583.349;
;24;5;8.046.143;7;9.131.648;5.583.349;0.1453323;0;9.117.115;5.583.349;
;25;5;8.685.547;8;9.025.237;1.682.072;0;0;9.025.237;1.682.072;
;26;5;8.702.881;8;9.025.237;1.689.182;0;0.07109833;9.025.237;1.682.072;
;27;5;1.065.161;9;8.806.143;1.625.532;0;0;8.806.143;1.625.532;
;28;5;1.067.114;9;8.806.143;1.625.532;0;0;8.806.143;1.625.532;
;29;5;1.127.319;10;8.890.954;583.778;0;0;8.890.954;583.778;
;30;5;1.129.175;10;8.890.954;583.778;0;0;8.890.954;583.778;
;31;5;1.130.884;10;8.890.954;5.790.431;0;-0.4734917;8.890.954;583.778;
;32;5;1.188.062;11;5.025.014;5.767.105;0;0;5.025.014;5.767.105;
;33;5;1.189.575;11;5.025.014;5.767.105;0;0;5.025.014;5.767.105;
;34;5;1.191.333;11;5.025.014;5.767.105;0;0;5.025.014;5.767.105;
;35;5;1.374.512;12;128.417;5.357.188;0;0;128.417;5.357.188;
;36;5;137.627;12;1.285.163;5.357.188;0.09928894;0;128.417;5.357.188;
;37;5;1.435.059;13;9.110.047;569.643;0;0;9.110.047;569.643;
;38;5;1.436.768;13;9.110.047;569.643;0;0;9.110.047;569.643;
;39;5;1.438.428;13;9.120.324;5.686.152;0.1027679;-0.1027756;9.110.047;569.643;
;40;5;144.021;13;9.130.687;5.682.295;0.1036301;-0.03857422;9.110.047;569.643;
;41;5;1.497.192;14;8.982.832;1.512.452;0;0;8.982.832;1.512.452;
;42;5;149.895;14;899.013;1.512.452;0.07298279;0;8.982.832;1.512.452;
;43;5;150.061;14;9.000.475;1.512.452;0.1034546;0;8.982.832;1.512.452;
;44;5;1.663.989;15;9.307.938;1.005.003;0;0;9.307.938;1.005.003;
;45;5;1.665.405;15;9.307.938;1.005.003;0;0;9.307.938;1.005.003;
;46;5;1.667.139;15;9.322.233;1.005.003;0.142952;0;9.307.938;1.005.003;
;47;5;1.668.823;15;9.332.549;1.005.003;0.103157;0;9.307.938;1.005.003;
;48;5;1.727.905;16;8.820.278;5.343.053;0;0;8.820.278;5.343.053;
;49;5;1.729.321;16;8.827.737;5.343.053;0.07459259;0;8.820.278;5.343.053;
;50;5;1.787.158;17;1.301.839;5.597.484;0;0;1.301.839;5.597.484;
;51;5;1.788.403;17;1.301.839;5.597.484;0;0;1.301.839;5.597.484;
;52;5;1.789.795;17;1.302.996;5.597.484;0.1156616;0;1.301.839;5.597.484;
;53;5;1.971.265;18;1.316.681;5.738.835;0;0;1.316.681;5.738.835;
;54;5;1.972.144;18;1.316.681;5.738.835;0;0;1.316.681;5.738.835;
;55;5;1.973.193;18;1.316.681;5.738.835;0;0;1.316.681;5.738.835;
;56;5;1.974.756;18;1.318.289;5.738.835;0.1608429;0;1.316.681;5.738.835;
;57;5;1.976.538;18;1.318.801;5.738.835;0.05117798;0;1.316.681;5.738.835;
;58;5;2.031.934;19;8.940.426;5.710.565;0;0;8.940.426;5.710.565;
;59;5;2.033.594;19;895.002;5.710.565;0.09593964;0;8.940.426;5.710.565;
;60;5;2.035.327;19;8.953.272;5.710.565;0.03252411;0;8.940.426;5.710.565;
;61;5;2.101.392;20;8.841.481;1.300.426;0;0;8.841.481;1.300.426;
;62;5;2.102.637;20;8.841.481;1.300.426;0;0;8.841.481;1.300.426;
;63;5;2.104.175;20;8.846.333;1.312.345;0.04852295;0.119195;8.841.481;1.300.426;
;64;5;2.280.664;21;4.791.786;5.632.822;0;0;4.791.786;5.632.822;
;65;5;2.282.471;21;4.801.728;5.632.822;0.09942627;0;4.791.786;5.632.822;
;66;5;228.418;21;4.812.053;5.632.822;0.103241;0;4.791.786;5.632.822;
;67;5;2.338.062;22;8.961.629;5.413.728;0;0;8.961.629;5.413.728;
;68;5;2.339.673;22;8.968.948;5.413.728;0.07318878;0;8.961.629;5.413.728;
;69;5;2.404.297;23;8.813.211;9.569.437;0;0;8.813.211;9.569.437;
;70;5;24.052;23;8.813.211;9.569.437;0;0;8.813.211;9.569.437;
;71;5;2.406.714;23;8.823.375;9.569.437;0.1016388;0;8.813.211;9.569.437;
;72;5;2.573.608;24;9.307.938;9.406.883;0;0;9.307.938;9.406.883;
;73;5;2.574.805;24;9.307.938;9.406.883;0;0;9.307.938;9.406.883;
;74;5;2.576.587;24;9.315.005;9.413.213;0.07067871;0.06329346;9.307.938;9.406.883;
;75;5;2.633.545;25;9.081.777;5.745.902;0;0;9.081.777;5.745.902;
;76;5;2.635.352;25;9.081.777;5.745.902;0;0;9.081.777;5.745.902;
;77;5;2.636.987;25;9.099.159;5.745.902;0.1738205;0;9.081.777;5.745.902;
;78;5;2.705.981;26;8.919.224;9.675.449;0;0;8.919.224;9.675.449;
;79;5;2.707.642;26;8.919.224;9.675.449;0;0;8.919.224;9.675.449;
;80;5;2.709.229;26;8.926.291;9.691.197;0.07067108;0.1574783;8.919.224;9.675.449;
;81;5;2.882.397;27;1.326.575;5.689.362;0;0;1.326.575;5.689.362;
;82;5;288.418;27;1.327.315;5.689.362;0.07397461;0;1.326.575;5.689.362;
;83;5;2.885.815;27;1.328.342;5.689.362;0.1027069;0;1.326.575;5.689.362;
;84;5;2.943.188;28;9.081.777;5.760.038;0;0;9.081.777;5.760.038;
;85;5;2.944.629;28;9.081.777;5.760.038;0;0;9.081.777;5.760.038;
;86;5;2.946.313;28;9.096.401;5.760.038;0.1462402;0;9.081.777;5.760.038;
;87;5;3.017.163;29;1.301.839;5.441.999;0;0;1.301.839;5.441.999;
