StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;Bug
;0;0;145.929;0;1.322.335;5.957.928;0;0;1.322.335;5.957.928;
;1;0;2.014.832;1;8.926.291;5.844.848;0;0;8.926.291;5.844.848;
;2;0;2.031.219;1;8.926.291;5.844.848;0;0;8.926.291;5.844.848;
;3;0;2.048.553;1;8.896.349;5.844.848;-0.2994232;0;8.926.291;5.844.848;
;4;0;2.067.169;1;8.890.954;5.833.651;-0.05394745;-0.1119652;8.926.291;5.844.848;
;5;0;208.429;1;8.928.043;5.808.459;0.3708954;-0.2519226;8.926.291;5.844.848;
;6;0;2.097.809;1;9.032.304;5.788.308;104.261;-0.2015152;8.926.291;5.844.848;
;7;0;2.568.237;2;9.371.545;9.859.206;0;0;9.371.545;9.859.206;
;8;0;2.586.609;2;9.371.545;9.859.206;0;0;9.371.545;9.859.206;
;9;0;2.604.828;2;9.335.081;9.805.874;-0.3646469;-0.5333176;9.371.545;9.859.206;
;10;0;262.088;2;9.309.924;9.783.448;-0.251564;-0.2242584;9.371.545;9.859.206;
;11;0;4.385.834;3;8.883.886;1.816.356;0;0;8.883.886;1.816.356;
;12;0;4.406.464;3;8.883.886;1.816.356;0;0;8.883.886;1.816.356;
;13;0;4.419.952;3;8.883.886;1.816.356;0;0;8.883.886;1.816.356;
;14;0;44.375;3;8.883.886;1.830.181;0;0.1382523;8.883.886;1.816.356;
;15;0;4.808.624;4;9.279.668;6.021.536;0;0;9.279.668;6.021.536;
;16;0;4.825.806;4;9.279.668;6.021.536;0;0;9.279.668;6.021.536;
;17;0;4.840.729;4;9.265.344;6.021.536;-0.1432343;0;9.279.668;6.021.536;
;18;0;4.857.452;4;9.254.932;6.010.935;-0.104126;-0.1060104;9.279.668;6.021.536;
;19;0;4.875.305;4;9.251.398;6.000.555;-0.03533936;-0.1037979;9.279.668;6.021.536;
;20;0;5.177.338;5;9.166.587;9.802.665;0;0;9.166.587;9.802.665;
;21;0;5.195.587;5;9.166.587;9.802.665;0;0;9.166.587;9.802.665;
;22;0;5.210.205;5;917.537;9.753.399;0.08782959;-0.4926605;9.166.587;9.802.665;
;23;0;5.227.417;5;9.185.818;97.167;0.1044846;-0.3669891;9.166.587;9.802.665;
;24;0;7.049.896;6;9.251.398;9.823.868;0;0;9.251.398;9.823.868;
;25;0;7.062.012;6;9.251.398;9.823.868;0;0;9.251.398;9.823.868;
;26;0;7.634.003;7;921.606;5.887.253;0;0;921.606;5.887.253;
;27;0;7.655.457;7;921.606;5.887.253;0;0;921.606;5.887.253;
;28;0;7.667.969;7;921.606;5.887.253;0;0;921.606;5.887.253;
;29;0;7.684.357;7;921.606;5.887.253;0;0;921.606;5.887.253;
;30;0;8.138.794;8;8.996.967;1.540.722;0;0;8.996.967;1.540.722;
;31;0;8.157.471;8;8.987.138;1.530.893;-0.09828186;-0.09828281;8.996.967;1.540.722;
;32;0;8.173.523;8;8.989.899;1.526.587;0.02761078;-0.04306793;8.996.967;1.540.722;
;33;0;818.924;8;9.008.618;1.526.587;0.1871872;0;8.996.967;1.540.722;
;34;0;1.011.108;9;9.166.587;1.752.748;0;0;9.166.587;1.752.748;
;35;0;1.012.482;9;9.166.587;1.752.748;0;0;9.166.587;1.752.748;
;36;0;1.079.846;10;9.244.331;5.434.931;0;0;9.244.331;5.434.931;
;37;0;1.081.702;10;9.244.331;5.434.931;0;0;9.244.331;5.434.931;
;38;0;1.083.304;10;9.237.263;5.434.931;-0.07067871;0;9.244.331;5.434.931;
;39;0;1.084.851;10;9.237.263;5.434.931;0;0;9.244.331;5.434.931;
;40;0;1.135.199;11;9.244.331;1.021.258;0;0;9.244.331;1.021.258;
;41;0;1.137.305;11;9.232.884;1.020.114;-0.1144638;-0.1144562;9.244.331;1.021.258;
;42;0;1.138.675;11;9.222.646;101.909;-0.1023865;-0.1023941;9.244.331;1.021.258;
;43;0;1.140.366;11;9.223.128;101.766;0.004821777;-0.143013;9.244.331;1.021.258;
;44;0;1.308.859;12;913.125;976.026;0;0;913.125;976.026;
;45;0;1.310.379;12;9.123.129;976.026;-0.08120728;0;913.125;976.026;
;46;0;1.312.057;12;9.117.115;976.026;-0.06014252;0;913.125;976.026;
;47;0;1.313.745;12;9.117.115;976.026;0;0;913.125;976.026;
;48;0;1.315.488;12;9.117.115;976.026;0;0;913.125;976.026;
;49;0;1.350.748;13;9.201.925;5.802.443;0;0;9.201.925;5.802.443;
;50;0;1.352.509;13;9.201.925;5.802.443;0;0;9.201.925;5.802.443;
;51;0;1.354.129;13;9.201.925;5.787.157;0;-0.1528511;9.201.925;5.802.443;
;52;0;1.355.807;13;9.201.925;5.776.815;0;-0.1034203;9.201.925;5.802.443;
;53;0;1.357.654;13;9.201.925;5.766.494;0;-0.1032104;9.201.925;5.802.443;
;54;0;1.407.898;14;9.117.115;1.653.802;0;0;9.117.115;1.653.802;
;55;0;1.409.647;14;9.107.099;1.643.787;-0.1001587;-0.1001568;9.117.115;1.653.802;
;56;0;1.411.487;14;9.110.047;1.646.735;0.02947998;0.02947998;9.117.115;1.653.802;
;57;0;1.588.031;15;4.904.866;5.562.146;0;0;4.904.866;5.562.146;
;58;0;158.989;15;4.904.866;5.562.146;0;0;4.904.866;5.562.146;
;59;0;1.591.321;15;4.904.866;5.562.146;0;0;4.904.866;5.562.146;
;60;0;1.593.317;15;4.910.078;5.567.359;0.05212021;0.05212402;4.904.866;5.562.146;
;61;0;159.465;15;4.928.998;5.586.279;0.1891975;0.1891975;4.904.866;5.562.146;
;62;0;1.628.253;16;8.876.819;5.774.173;0;0;8.876.819;5.774.173;
;63;0;1.630.112;16;8.876.819;5.774.173;0;0;8.876.819;5.774.173;
