StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;Bug
;0;3;1.258.667;0;8.898.022;9.767.328;0;0;8.898.022;9.767.328;
;1;3;1.276.001;0;8.898.022;9.767.328;0;0;8.898.022;9.767.328;
;2;3;1.293.457;0;8.914.208;9.767.328;0.1618652;0;8.898.022;9.767.328;
;3;3;1.312.012;0;8.914.208;9.767.328;0;0;8.898.022;9.767.328;
;4;3;1.327.026;0;8.912.157;9.767.328;-0.02051544;0;8.898.022;9.767.328;
;5;3;1.831.909;1;8.636.523;5.858.983;0;0;8.636.523;5.858.983;
;6;3;1.849.365;1;8.636.523;5.858.983;0;0;8.636.523;5.858.983;
;7;3;1.863.647;1;8.664.854;5.795.252;0.2833099;-0.6373062;8.636.523;5.858.983;
;8;3;1.881.714;1;8.664.793;5.784.918;-0.0006103516;-0.1033401;8.636.523;5.858.983;
;9;3;240.332;2;4.714.043;5.618.687;0;0;4.714.043;5.618.687;
;10;3;2.418.823;2;4.722.908;5.618.687;0.08864594;0;4.714.043;5.618.687;
;11;3;2.435.913;2;47.454;5.599.475;0.224926;-0.1921196;4.714.043;5.618.687;
;12;3;2.451.538;2;4.757.743;5.597.484;0.1234245;-0.01990509;4.714.043;5.618.687;
;13;3;246.936;2;4.751.851;5.602.082;-0.058918;0.04597473;4.714.043;5.618.687;
;14;3;4.337.891;3;1.307.493;580.951;0;0;1.307.493;580.951;
;15;3;4.352.783;3;1.307.493;580.951;0;0;1.307.493;580.951;
;16;3;4.369.629;3;130.893;580.951;0.1436768;0;1.307.493;580.951;
;17;3;4.391.602;3;1.309.967;580.951;0.1036682;0;1.307.493;580.951;
;18;3;4.774.536;4;9.541.167;561.162;0;0;9.541.167;561.162;
;19;3;4.789.673;4;9.541.167;561.162;0;0;9.541.167;561.162;
;20;3;4.806.763;4;9.548.235;561.162;0.07067871;0;9.541.167;561.162;
;21;3;4.824.829;4;9.548.235;561.162;0;0;9.541.167;561.162;
;22;3;4.840.942;4;9.493.194;5.625.454;-0.5504074;0.1383476;9.541.167;561.162;
;23;3;5.175.171;5;8.806.143;1.682.072;0;0;8.806.143;1.682.072;
