StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;Bug
;0;4;1.341.553;0;4.904.866;578.124;0;0;4.904.866;578.124;
;1;4;1.360.352;0;4.904.866;578.124;0;0;4.904.866;578.124;
;2;4;1.373.291;0;4.918.991;5.774.183;0.1412506;-0.07056808;4.904.866;578.124;
;3;4;1.389.893;0;4.929.338;5.774.173;0.103466;-0.0001029968;4.904.866;578.124;
;4;4;1.879.639;1;8.905.089;5.540.944;0;0;8.905.089;5.540.944;
;5;4;1.897.461;1;8.913.969;5.540.944;0.08879852;0;8.905.089;5.540.944;
;6;4;1.912.354;1;8.924.335;5.540.944;0.1036606;0;8.905.089;5.540.944;
;7;4;2.838.623;2;5.010.879;5.590.417;0;0;5.010.879;5.590.417;
;8;4;2.852.539;2;5.010.879;5.590.417;0;0;5.010.879;5.590.417;
;9;4;4.803.711;3;1.308.907;561.162;0;0;1.308.907;561.162;
;10;4;4.820.313;3;1.309.792;561.162;0.08848572;0;1.308.907;561.162;
;11;4;4.837.158;3;1.309.613;5.623.836;-0.01780701;0.1221657;1.308.907;561.162;
;12;4;5.140.869;4;8.982.832;5.449.066;0;0;8.982.832;5.449.066;
;13;4;5.155.518;4;8.982.832;5.449.066;0;0;8.982.832;5.449.066;
;14;4;5.172.607;4;8.982.832;5.449.066;0;0;8.982.832;5.449.066;
;15;4;5.188.965;4;8.982.832;5.449.066;0;0;8.982.832;5.449.066;
;16;4;5.609.131;5;8.848.548;9.583.572;0;0;8.848.548;9.583.572;
;17;4;5.625.977;5;8.858.607;9.573.513;0.1005859;-0.1005859;8.848.548;9.583.572;
;18;4;7.349.365;6;5.102.757;5.689.362;0;0;5.102.757;5.689.362;
;19;4;7.358.398;6;5.102.757;5.689.362;0;0;5.102.757;5.689.362;
;20;4;7.373.779;6;5.113.113;5.689.362;0.1035576;0;5.102.757;5.689.362;
;21;4;7.391.113;6;5.113.113;5.689.362;0;0;5.102.757;5.689.362;
