StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;Bug
;0;1;1.676.514;0;9.081.777;1.533.654;0;0;9.081.777;1.533.654;
;1;1;1.692.993;0;9.071.794;1.533.654;-0.09983063;0;9.081.777;1.533.654;
;2;1;1.713.501;0;9.074.709;1.533.654;0.02915192;0;9.081.777;1.533.654;
;3;1;172.644;0;9.074.709;1.533.654;0;0;9.081.777;1.533.654;
;4;1;1.944.458;1;910.298;5.434.931;0;0;910.298;5.434.931;
;5;1;1.962.402;1;910.298;5.434.931;0;0;910.298;5.434.931;
;6;1;1.979.858;1;9.092.378;5.434.931;-0.1060181;0;910.298;5.434.931;
;7;1;1.996.094;1;9.092.378;5.434.931;0;0;910.298;5.434.931;
;8;1;2.011.963;1;9.095.912;544.304;0.03533936;0.08108521;910.298;5.434.931;
;9;1;2.280.518;2;9.145.384;1.590.194;0;0;9.145.384;1.590.194;
;10;1;2.299.438;2;9.145.384;1.590.194;0;0;9.145.384;1.590.194;
;11;1;2.314.453;2;9.145.384;1.572.897;0;-0.1729689;9.145.384;1.590.194;
;12;1;2.332.031;2;9.145.384;1.576.059;0;0.03161907;9.145.384;1.590.194;
;13;1;2.348.999;2;9.145.384;1.576.059;0;0;9.145.384;1.590.194;
;14;1;3.927.856;3;1.318.094;5.738.835;0;0;1.318.094;5.738.835;
;15;1;3.944.824;3;1.317.296;5.738.835;-0.07980347;0;1.318.094;5.738.835;
;16;1;3.964.355;3;1.317.296;5.738.835;0;0;1.318.094;5.738.835;
;17;1;4.149.414;4;9.618.909;5.689.362;0;0;9.618.909;5.689.362;
;18;1;4.165.527;4;9.610.952;5.681.404;-0.07957458;-0.07957458;9.618.909;5.689.362;
;19;1;4.181.152;4;960.064;5.675.227;-0.1031189;-0.06177521;9.618.909;5.689.362;
;20;1;4.197.266;4;9.590.328;5.675.227;-0.1031189;0;9.618.909;5.689.362;
;21;1;4.448.608;5;460.803;5.873.118;0;0;460.803;5.873.118;
;22;1;446.582;5;4.597.961;5.863.049;-0.1006889;-0.1006889;460.803;5.873.118;
;23;1;4.484.619;5;4.587.636;5.852.724;-0.1032524;-0.1032524;460.803;5.873.118;
;24;1;4.499.512;5;4.586.827;5.842.429;-0.008083344;-0.102951;460.803;5.873.118;
;25;1;6.120.239;6;9.159.519;1.604.329;0;0;9.159.519;1.604.329;
;26;1;6.129.639;6;9.159.519;1.604.329;0;0;9.159.519;1.604.329;
;27;1;6.145.264;6;9.159.519;1.604.329;0;0;9.159.519;1.604.329;
;28;1;6.381.714;7;9.152.452;575.297;0;0;9.152.452;575.297;
;29;1;6.398.438;7;9.142.853;5.743.371;-0.09599304;-0.09599304;9.152.452;575.297;
;30;1;6.417.358;7;9.132.551;5.745.902;-0.1030197;0.02531433;9.152.452;575.297;
;31;1;6.431.152;7;913.125;5.745.902;-0.01300812;0;9.152.452;575.297;
;32;1;6.604.126;8;4.911.934;6.000.334;0;0;4.911.934;6.000.334;
;33;1;6.616.089;8;4.911.934;6.000.334;0;0;4.911.934;6.000.334;
;34;1;663.501;8;4.899.165;5.987.565;-0.1276855;-0.1276894;4.911.934;6.000.334;
;35;1;6.649.292;8;4.888.805;5.977.205;-0.1036034;-0.1035995;4.911.934;6.000.334;
;36;1;8.195.801;9;9.159.519;938.568;0;0;9.159.519;938.568;
;37;1;821.521;9;9.152.012;9.378.173;-0.07507324;-0.07507324;9.159.519;938.568;
;38;1;822.937;9;9.141.851;9.368.012;-0.1016083;-0.1016083;9.159.519;938.568;
;39;1;8.399.536;10;8.982.832;5.823.645;0;0;8.982.832;5.823.645;
;40;1;8.415.771;10;8.982.832;5.823.645;0;0;8.982.832;5.823.645;
;41;1;8.432.617;10;8.961.017;5.794.764;-0.2181473;-0.2888145;8.982.832;5.823.645;
;42;1;8.449.951;10;8.951.028;5.784.774;-0.09989166;-0.09989548;8.982.832;5.823.645;
;43;1;8.465.332;10;8.947.494;578.124;-0.03533936;-0.03534317;8.982.832;5.823.645;
;44;1;8.651.978;11;1.321.628;5.548.011;0;0;1.321.628;5.548.011;
;45;1;866.748;11;1.321.628;5.548.011;0;0;1.321.628;5.548.011;
;46;1;8.683.105;11;1.321.628;5.548.011;0;0;1.321.628;5.548.011;
;47;1;8.700.195;11;1.321.628;5.548.011;0;0;1.321.628;5.548.011;
;48;1;1.024.829;12;1.295.478;5.576.282;0;0;1.295.478;5.576.282;
;49;1;1.026.367;12;1.295.478;5.567.564;0;-0.08718109;1.295.478;5.576.282;
;50;1;1.028.064;12;129.428;5.569.214;-0.1198425;0.01650238;1.295.478;5.576.282;
;51;1;10.297;12;1.293.252;5.569.214;-0.102829;0;1.295.478;5.576.282;
;52;1;1.048.328;13;8.848.548;5.590.417;0;0;8.848.548;5.590.417;
;53;1;1.050.232;13;8.848.548;5.590.417;0;0;8.848.548;5.590.417;
;54;1;1.051.672;13;8.833.369;5.575.237;-0.1517868;-0.1517982;8.848.548;5.590.417;
;55;1;1.053.662;13;8.823.014;5.576.282;-0.1035538;0.01044846;8.848.548;5.590.417;
;56;1;1.055.066;13;8.820.278;5.576.282;-0.02735901;0;8.848.548;5.590.417;
;57;1;1.073.535;14;9.124.182;1.526.587;0;0;9.124.182;1.526.587;
;58;1;1.075.366;14;9.124.182;1.526.587;0;0;9.124.182;1.526.587;
