ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;2;21;F;R;R;No;R;0;21.6;-1;21.6;Outset;E;N;No;EN; ; ; ;0;False;1; ;0.6723633;0.7058105;0.6723633;138.5212;73.89091;134.6008;76.00758;-3.920456;2.116669;134.399;76.00758;-4.122162;2.116669;0.03344727; ; ;67.41412;84.61546;156.7112;06-08-2019 11:43:48;S
 ;12;2;21;F;R;R;No;R;0;21.6;39.99999;21.6;Center;E;N;No;EN; ; ; ;1;False;1; ;0.840332;0.8740234;0.1679688;98.52122;73.89091;95.71931;71.96667;-2.801903;-1.92424;95.63485;72.15909;-2.886368;-1.731819;0.03369141; ; ;67.60995;79.58168;155.0609;06-08-2019 11:43:48;S
 ;12;2;21;F;R;R;No;R;0;21.6;40.00001;21.6;Goal;E;N;No;EN; ; ; ;2;False;1; ;0.9748535;1.041992;0.1345215;98.52122;113.8909;98.80984;114.3;0.2886276;0.4090805;99.29091;114.9735;0.7696915;1.082565;0.06713867; ; ;70.19787;87.2542;159.9925;06-08-2019 11:43:49;S
 ;12;2;21;F;R;R;No;R;1;21.6;-1;21.6;Outset;S;S;No;SS; ; ; ;3;False;1; ;2.554932;2.622314;1.580078;98.52122;33.89091;99.29091;38.77348;0.7696915;4.882576;99.67576;39.15833;1.154541;5.267426;0.06738281; ; ;68.75828;81.49924;156.9646;06-08-2019 11:43:50;S
 ;12;2;21;F;R;R;No;R;1;21.6;40;21.6;Center;S;S;No;SS; ; ; ;4;False;1; ;2.723389;2.790527;0.168457;98.52122;73.89091;96.98181;81.87651;-1.539406;7.985603;97.4612;79.66866;-1.060013;5.777748;0.06713867; ; ;67.88338;84.2194;157.0621;06-08-2019 11:43:50;S
 ;12;2;21;F;R;R;No;R;1;21.6;40;21.6;Goal;S;S;No;SS; ; ; ;5;False;1; ;2.891602;2.95874;0.1682129;98.52122;33.89091;103.0432;31.75;4.521957;-2.140907;103.2356;32.03864;4.714386;-1.852272;0.06713867; ; ;66.94762;86.45991;156.646;06-08-2019 11:43:51;S
 ;12;2;21;F;R;R;No;R;2;21.6;-1;21.6;Outset;W;W;No;WW; ; ; ;6;False;1; ;4.470947;4.504639;1.579346;58.52121;73.89091;58.78561;75.52651;0.2643967;1.635605;58.97803;75.52651;0.4568214;1.635605;0.03369141; ; ;66.00262;82.08302;154.5714;06-08-2019 11:43:52;S
 ;12;2;21;F;R;R;No;R;2;21.6;40.00001;21.6;Center;W;W;No;WW; ; ; ;7;False;1; ;4.605469;4.672607;0.1345215;98.52122;73.89091;102.1773;76.48864;3.656059;2.597733;102.0811;76.48864;3.559845;2.597733;0.06713867; ; ;68.25584;86.8225;158.0012;06-08-2019 11:43:52;S
 ;12;2;21;F;R;R;No;R;2;21.6;40.00001;21.6;Goal;W;W;No;WW; ; ; ;8;False;1; ;4.739746;4.807129;0.1342773;58.52121;73.89091;55.80303;74.56439;-2.718178;0.6734848;55.46629;74.46819;-3.054924;0.5772781;0.06738281; ; ;69.97613;85.36683;159.4019;06-08-2019 11:43:52;S
 ;12;2;21;F;R;R;No;R;3;21.6;-1;21.6;Outset;S;E;No;SE; ; ; ;9;False;1; ;6.287109;6.354248;1.547363;98.52122;33.89091;98.13636;38.1;-0.3848572;4.209091;97.94393;38.48485;-0.5772858;4.593941;0.06713867; ; ;64.39447;78.94894;151.7854;06-08-2019 11:43:54;S
